Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,13.52,15.5,11.66,15.22,10.86,698386400,,
1998-06-30,13,1998-13,1998,4,1,15.22,16.81,13.62,16.34,11.67,634498800,0.07458563535911611,0.977366790681154
1998-09-30,26,1998-26,1998,7,1,16.34,19.94,14.48,18.89,13.48,760326400,0.1550985432733505,2.0324042927103525
1998-12-31,39,1998-39,1998,10,1,18.62,27.25,16.53,26.14,18.66,955348000,0.38427299703264084,5.03549596442925
1999-03-31,01,1999-01,1999,1,4,26.16,39.84,25.69,37.44,26.72,567334600,0.43193997856377275,5.660121933440938
1999-06-30,13,1999-13,1999,4,1,37.69,40.69,26.06,30.44,21.73,674272200,-0.18675149700598792,-2.4471831660992183
1999-09-30,26,1999-26,1999,7,1,30.38,44.62,29.5,40.75,29.09,611774600,0.33870225494707773,4.438339022255644
1999-12-31,39,1999-39,1999,10,1,40.72,66.44,37.0,60.06,42.87,580717400,0.4737023031969749,6.207373545653
2000-03-31,01,2000-01,2000,1,3,70.0,76.5,51.06,61.38,43.81,800407300,0.021926755306741486,0.2873272093348412
2000-06-30,14,2000-14,2000,4,3,61.0,70.88,50.0,70.25,50.14,505244700,0.14448755991782702,1.893358446975775
2000-09-30,27,2000-27,2000,7,3,69.69,80.44,64.12,69.83,49.84,444634000,-0.005983246908655704,-0.07840419674391122
2000-12-31,40,2000-40,2000,10,2,70.31,72.62,51.39,63.94,45.64,504190800,-0.08426966292134841,-1.104265849645998
2001-03-31,00,2001-00,2001,1,2,65.88,75.06,45.44,60.19,42.96,680227100,-0.05872042068361083,-0.7694697354880601
2001-06-30,13,2001-13,2001,4,2,59.38,70.6,50.31,60.68,43.31,566074200,0.008147113594040967,0.10675940787235502
2001-09-30,26,2001-26,2001,7,2,61.7,66.25,53.46,58.77,41.95,503900200,-0.0314015238974833,-0.41148414820642376
2001-12-31,39,2001-39,2001,10,1,58.74,69.0,55.15,56.44,40.29,688591200,-0.03957091775923727,-0.5185355156986885
2002-03-31,00,2002-00,2002,1,2,56.9,62.94,53.28,59.68,42.6,635254200,0.05733432613551748,0.7513064152518255
2002-06-30,13,2002-13,2002,4,1,59.43,61.48,36.73,41.88,29.89,879037400,-0.2983568075117371,-3.9096541047294364
2002-09-30,26,2002-26,2002,7,1,41.45,48.92,30.57,41.7,29.77,1085033500,-0.004014720642355307,-0.052608717627832084
2002-12-31,39,2002-39,2002,10,1,42.11,53.02,41.98,48.34,34.51,1007687800,0.15922069197178357,2.0864207427238153
2003-03-31,00,2003-00,2003,1,2,48.34,59.06,48.09,57.55,41.08,730099900,0.19037960011590838,2.494725665076803
2003-06-30,13,2003-13,2003,4,1,57.92,67.54,56.9,65.94,47.07,661333100,0.14581304771178205,1.9107275790482896
2003-09-30,26,2003-26,2003,7,1,65.49,72.37,63.61,64.52,46.05,510598300,-0.0216698534098152,-0.28396077850255286
2003-12-31,39,2003-39,2003,10,1,64.88,67.5,56.76,61.79,44.11,633045900,-0.0421281216069489,-0.5520449992034093
2004-03-31,00,2004-00,2004,1,2,62.07,66.88,57.79,58.15,41.51,572893500,-0.05894355021537068,-0.7723936147754362
2004-06-30,13,2004-13,2004,4,1,58.2,60.8,52.15,54.57,38.95,564164800,-0.061671886292459566,-0.8081456072700346
2004-09-30,26,2004-26,2004,7,1,54.85,60.45,53.17,56.81,40.55,496484100,0.04107830551989711,0.5382882567037712
2004-12-31,39,2004-39,2004,10,1,57.2,64.93,52.0,64.15,45.79,469864700,0.1292231812577065,1.693334719739932
2005-03-31,01,2005-01,2005,1,3,64.2,65.24,57.63,58.21,41.55,451292700,-0.09259663682026653,-1.2133821388146284
2005-06-30,13,2005-13,2005,4,1,58.58,63.51,56.19,60.46,43.16,458276400,0.03874849578820694,0.5077585354056148
2005-09-30,26,2005-26,2005,7,1,60.46,86.92,60.26,79.67,56.87,663243600,0.3176552363299352,4.16253984269246
2005-12-31,40,2005-40,2005,10,3,79.64,84.5,73.13,78.86,56.29,486580600,-0.01019869878670654,-0.13364328740103495
2006-03-31,01,2006-01,2006,1,3,79.36,81.24,70.03,72.75,51.93,661602500,-0.07745603126665479,-1.014980328765636
2006-06-30,14,2006-14,2006,4,3,73.46,73.5,63.75,65.23,46.56,586529000,-0.1034084344309647,-1.355059445461996
2006-09-30,27,2006-27,2006,7,3,65.79,72.57,63.52,71.53,51.06,489384700,0.09664948453608257,1.266490471887807
2006-12-31,40,2006-40,2006,10,2,71.4,77.0,67.88,68.31,48.76,492629500,-0.04504504504504514,-0.5902682319429063
2007-03-31,00,2007-00,2007,1,3,68.43,76.95,55.13,55.88,39.89,857653100,-0.1819114027891714,-2.3837587905005164
2007-06-30,13,2007-13,2007,4,2,56.19,66.06,52.36,55.29,39.47,1035345600,-0.010528954625219411,-0.13797094496454443
2007-09-30,26,2007-26,2007,7,2,55.4,57.74,48.3,56.57,40.38,747361800,0.023055485178616664,0.3021180344998876
2007-12-31,39,2007-39,2007,10,1,56.38,59.08,46.21,46.44,33.15,620915900,-0.17904903417533446,-2.34625044170946
2008-03-31,00,2008-00,2008,1,2,46.6,48.91,39.16,41.78,29.82,734959900,-0.10045248868778278,-1.3163248662024492
2008-06-30,13,2008-13,2008,4,1,42.11,47.41,41.2,47.16,33.66,511911600,0.1287726358148893,1.6874307926448275
2008-09-30,26,2008-26,2008,7,1,46.86,66.51,46.85,59.27,42.31,800788300,0.2569815805109925,3.3674750023765947
2008-12-31,39,2008-39,2008,10,1,58.89,62.46,45.0,57.75,41.22,705082500,-0.02576223115102816,-0.33758711123976454
2009-03-31,00,2009-00,2009,1,2,58.59,60.15,45.73,49.52,35.35,561545000,-0.1424065987384764,-1.866089625846863
2009-06-30,13,2009-13,2009,4,1,48.78,53.85,44.96,52.94,37.79,550456100,0.06902404526166905,0.9044879657109843
2009-09-30,26,2009-26,2009,7,1,53.5,64.76,50.65,60.23,42.99,563674400,0.1376025403545913,1.8031374621722422
2009-12-31,39,2009-39,2009,10,1,60.15,61.85,51.72,56.57,40.38,420686800,-0.06071179344033495,-0.7955645939808281
