Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,25.97,28.63,22.87,26.79,18.84,244732549,,
1998-06-30,13,1998-13,1998,4,1,27.08,33.26,26.81,33.19,23.44,325507367,0.2441613588110405,2.6361149355195574
1998-09-30,26,1998-26,1998,7,1,33.26,34.61,19.84,22.65,16.0,488926653,-0.31740614334470996,-3.42691029887411
1998-12-31,39,1998-39,1998,10,1,22.03,31.82,19.55,29.91,21.19,403650632,0.3243750000000001,3.502150325395761
1999-03-31,01,1999-01,1999,1,4,29.83,37.82,27.68,34.36,24.45,350892040,0.15384615384615374,1.6610169025146622
1999-06-30,13,1999-13,1999,4,1,34.94,41.61,33.41,37.97,27.06,363806122,0.10674846625766876,1.152521544014776
1999-09-30,26,1999-26,1999,7,1,38.37,43.95,35.56,39.39,28.08,417131615,0.037694013303769314,0.4069675559376271
1999-12-31,39,1999-39,1999,10,1,38.8,49.27,38.0,48.51,34.63,432459956,0.23326210826210847,2.5184399795071886
2000-03-31,01,2000-01,2000,1,3,48.0,49.45,34.87,43.45,31.07,573235123,-0.10280103956107423,-1.1099027179956487
2000-06-30,14,2000-14,2000,4,3,43.69,50.06,38.46,45.63,32.68,372596940,0.051818474412616666,0.5594638521022192
2000-09-30,27,2000-27,2000,7,3,44.53,54.49,44.37,53.17,38.15,219098592,0.16738066095471238,1.807143695499047
2000-12-31,40,2000-40,2000,10,2,53.39,55.14,43.82,48.09,34.54,298935225,-0.09462647444298822,-1.0216451275886391
2001-03-31,00,2001-00,2001,1,2,47.7,49.95,29.76,36.15,26.01,510561408,-0.24696004632310353,-2.6663312727251145
2001-06-30,13,2001-13,2001,4,2,33.22,40.75,31.48,33.96,24.48,387803383,-0.05882352941176472,-0.6350946980203126
2001-09-30,26,2001-26,2001,7,2,34.14,36.69,21.18,25.44,18.37,410012335,-0.24959150326797386,-2.694742086738964
2001-12-31,39,2001-39,2001,10,1,25.3,31.81,23.36,31.24,22.63,386400434,0.23189983669025582,2.503732064813882
2002-03-31,00,2002-00,2002,1,2,31.2,37.38,28.46,35.85,26.03,344808754,0.150243040212108,1.6221154903037607
2002-06-30,13,2002-13,2002,4,1,35.41,39.31,30.22,31.79,23.13,366778702,-0.11140991164041503,-1.202849351225564
2002-09-30,26,2002-26,2002,7,1,32.08,33.67,23.56,27.29,19.9,396915799,-0.13964548205793348,-1.5076977893772316
2002-12-31,39,2002-39,2002,10,1,27.4,34.87,23.24,30.94,22.66,368055411,0.13869346733668353,1.4974192578448786
2003-03-31,00,2003-00,2003,1,2,31.34,34.09,27.05,29.09,21.3,347378729,-0.06001765225066191,-0.6479871764443782
2003-06-30,13,2003-13,2003,4,1,29.09,39.25,28.76,36.6,26.87,370905402,0.2615023474178404,2.823338824203915
2003-09-30,26,2003-26,2003,7,1,36.18,41.53,35.92,39.44,29.03,300319437,0.08038704875325653,0.8679076036957909
2003-12-31,39,2003-39,2003,10,1,39.6,42.99,38.1,42.22,31.2,298119275,0.07475025835342741,0.8070493768504754
2004-03-31,00,2004-00,2004,1,2,42.39,47.7,41.52,45.38,33.61,343914770,0.07724358974358969,0.8339689031375699
2004-06-30,13,2004-13,2004,4,1,45.38,46.23,41.42,44.97,33.37,284467039,-0.007140731925022403,-0.07709569675462381
2004-09-30,26,2004-26,2004,7,1,44.96,45.31,41.75,45.04,33.42,241328457,0.0014983518130058382,0.016177119967555217
2004-12-31,39,2004-39,2004,10,1,45.05,49.94,44.52,49.34,36.69,251119387,0.09784560143626564,1.0564007858452766
2005-03-31,01,2005-01,2005,1,3,49.54,50.79,43.77,44.96,33.59,379488978,-0.08449168710820376,-0.9122237826565937
2005-06-30,13,2005-13,2005,4,1,45.43,48.4,43.34,46.59,34.89,309214669,0.038701994641262116,0.41785033719109393
2005-09-30,26,2005-26,2005,7,1,46.79,52.08,45.78,50.28,37.65,362882783,0.07910576096302657,0.8540740392981664
2005-12-31,40,2005-40,2005,10,3,50.75,53.06,46.59,51.46,38.62,395313400,0.02576361221779555,0.27815966986334606
2006-03-31,01,2006-01,2006,1,3,51.7,55.0,51.05,52.55,39.53,306951100,0.023562920766442286,0.2543996628268836
2006-06-30,14,2006-14,2006,4,3,52.81,54.91,50.92,53.22,40.13,315637400,0.015178345560334039,0.16387467543150105
2006-09-30,27,2006-27,2006,7,3,53.24,56.19,49.73,56.08,42.4,281071100,0.056566159980064645,0.6107227609420333
2006-12-31,40,2006-40,2006,10,2,56.08,62.5,55.0,60.67,46.0,333456400,0.08490566037735858,0.9166932905387537
2007-03-31,00,2007-00,2007,1,3,61.18,61.9,53.91,56.4,42.86,361752500,-0.06826086956521737,-0.7369859778331362
2007-06-30,13,2007-13,2007,4,2,56.4,65.24,55.34,61.18,46.62,360560400,0.08772748483434434,0.9471594283121408
2007-09-30,26,2007-26,2007,7,2,61.46,65.89,55.5,59.37,45.35,549500000,-0.027241527241527175,-0.29411614179018686
2007-12-31,39,2007-39,2007,10,1,59.15,63.63,50.37,52.02,39.84,601089700,-0.12149944873208374,-1.3117821469363316
2008-03-31,00,2008-00,2008,1,2,52.09,52.32,39.5,43.72,33.6,774771900,-0.15662650602409645,-1.691035280270953
2008-06-30,13,2008-13,2008,4,1,44.9,52.63,37.61,37.67,29.06,702913100,-0.1351190476190477,-1.4588276426549922
2008-09-30,26,2008-26,2008,7,1,37.95,42.5,31.68,35.43,27.45,1092517800,-0.05540261527873369,-0.5981604227397096
