Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,30.5,37.56,28.12,36.47,18.46,293916800,,
1998-06-30,13,1998-13,1998,4,1,36.47,42.5,36.03,38.34,19.51,315151800,0.05687973997833162,0.4776122932114149
1998-09-30,26,1998-26,1998,7,1,38.5,44.22,23.94,26.75,13.7,485521000,-0.2977960020502307,-2.50055699098809
1998-12-31,39,1998-39,1998,10,1,26.0,33.31,22.0,30.06,15.5,794430200,0.13138686131386867,1.103239574475417
1999-03-31,01,1999-01,1999,1,4,29.88,37.25,29.75,35.31,18.33,559884600,0.18258064516129013,1.5331075821500477
1999-06-30,13,1999-13,1999,4,1,35.25,38.06,30.75,36.66,19.17,453556600,0.045826513911620514,0.3847996915518929
1999-09-30,26,1999-26,1999,7,1,36.66,38.19,26.62,27.84,14.67,532119200,-0.23474178403755874,-1.9710983529359953
1999-12-31,39,1999-39,1999,10,1,27.78,33.75,23.81,25.09,13.33,718596400,-0.09134287661895024,-0.766995080974767
2000-03-31,01,2000-01,2000,1,3,25.12,27.59,21.16,26.22,14.08,850912200,0.05626406601650413,0.47244255346065295
2000-06-30,14,2000-14,2000,4,3,26.03,30.5,21.49,21.5,11.66,719640000,-0.171875,-1.4432135752903237
2000-09-30,27,2000-27,2000,7,3,21.88,28.81,21.81,26.19,14.34,557993800,0.22984562607204118,1.9299859070154086
2000-12-31,40,2000-40,2000,10,2,26.31,27.38,18.16,22.94,12.73,814527600,-0.11227336122733611,-0.9427458272975462
2001-03-31,00,2001-00,2001,1,2,22.66,27.97,22.5,27.38,15.36,823466600,0.20659858601728187,1.734783324950847
2001-06-30,13,2001-13,2001,4,2,27.23,31.09,24.33,30.01,17.01,733300200,0.10742187500000022,0.9020084845564541
2001-09-30,26,2001-26,2001,7,2,30.01,32.77,25.12,29.2,16.7,711620000,-0.018224573780129427,-0.15302954055774765
2001-12-31,39,2001-39,2001,10,1,29.23,32.49,26.05,31.48,18.17,716187800,0.0880239520958086,0.739126473398552
2002-03-31,00,2002-00,2002,1,2,31.16,34.81,28.75,34.01,19.82,760322600,0.09080902586681328,0.7625124008138187
2002-06-30,13,2002-13,2002,4,1,33.53,38.54,33.41,35.18,20.67,794191400,0.04288597376387493,0.3601083317851284
2002-09-30,26,2002-26,2002,7,1,35.18,36.35,27.56,31.9,18.91,885223800,-0.0851475568456701,-0.7149737305744037
2002-12-31,39,2002-39,2002,10,1,31.91,36.0,26.98,34.78,20.81,814012000,0.10047593865679527,0.8436842976554166
2003-03-31,00,2003-00,2003,1,2,34.96,36.25,32.13,33.42,20.19,694531000,-0.02979336857280146,-0.2501713104168446
2003-06-30,13,2003-13,2003,4,1,33.72,40.0,33.6,39.51,24.07,725068600,0.19217434373452202,1.613664708073723
2003-09-30,26,2003-26,2003,7,1,39.45,42.45,37.29,39.02,24.01,720337000,-0.00249272953884494,-0.020931148276295015
2003-12-31,39,2003-39,2003,10,1,39.22,41.38,36.22,40.22,25.01,972820800,0.0416493127863391,0.3497242392131342
2004-03-31,00,2004-00,2004,1,2,39.88,41.5,38.8,40.49,25.43,754113800,0.01679328268692526,0.14101116245794035
2004-06-30,13,2004-13,2004,4,1,40.72,42.84,38.51,42.31,26.83,754043200,0.05505308690522992,0.4622741084117281
2004-09-30,26,2004-26,2004,7,1,42.31,44.99,41.7,43.33,27.75,566761100,0.034289973909802596,0.28792876126823636
2004-12-31,39,2004-39,2004,10,1,43.53,47.47,42.94,46.99,30.39,536079900,0.09513513513513505,0.7988382168093461
2005-03-31,01,2005-01,2005,1,3,46.66,47.2,43.4,44.1,28.8,585263900,-0.052319842053306975,-0.43932338215783673
2005-06-30,13,2005-13,2005,4,1,44.42,47.44,43.47,45.61,30.08,583196000,0.04444444444444429,0.3731946214892137
2005-09-30,26,2005-26,2005,7,1,45.61,46.05,41.13,42.1,28.09,881287300,-0.06615691489361697,-0.5555116082838959
2005-12-31,40,2005-40,2005,10,3,42.47,47.25,41.38,46.15,31.12,783120400,0.1078675685297259,0.9057509191892928
2006-03-31,01,2006-01,2006,1,3,46.92,47.24,42.92,45.54,31.05,866692700,-0.0022493573264781297,-0.01888758126110246
2006-06-30,14,2006-14,2006,4,3,45.85,50.5,45.26,48.1,33.14,894688500,0.06731078904991938,0.5652005499365639
2006-09-30,27,2006-27,2006,7,3,48.19,54.0,47.59,53.57,37.3,721331300,0.12552806276403117,1.0540439520636833
2006-12-31,40,2006-40,2006,10,2,53.53,55.08,51.32,53.39,37.57,743428500,0.007238605898123307,0.060781697735843854
2007-03-31,00,2007-00,2007,1,3,53.4,54.21,48.36,51.02,36.3,958410300,-0.033803566675539076,-0.28384445858542307
2007-06-30,13,2007-13,2007,4,2,51.2,52.2,48.55,48.89,35.17,1038135700,-0.031129476584021876,-0.2613904476959571
2007-09-30,26,2007-26,2007,7,2,49.15,52.78,46.52,50.27,36.62,1787576100,0.04122831959056006,0.3461892102952976
2007-12-31,39,2007-39,2007,10,1,50.04,52.96,40.61,41.26,30.49,1897122200,-0.167394866193337,-1.4055944338858541
2008-03-31,00,2008-00,2008,1,2,41.53,45.08,33.12,37.91,28.49,3042704500,-0.06559527714004587,-0.5507956040345905
2008-06-30,13,2008-13,2008,4,1,39.26,41.5,22.44,23.87,18.29,3021877600,-0.35802035802035803,-3.006253619928917
2008-09-30,26,2008-26,2008,7,1,23.31,39.5,18.44,35.0,27.35,6229518700,0.49535265172225285,4.1594162706712146
2008-12-31,39,2008-39,2008,10,1,34.57,38.5,10.01,14.08,11.25,7599891800,-0.5886654478976234,-4.942952527768488
2009-03-31,00,2009-00,2009,1,2,13.92,14.81,2.53,6.82,5.47,24299504500,-0.5137777777777778,-4.314129824415326
2009-06-30,13,2009-13,2009,4,1,6.45,15.07,6.44,13.2,10.59,29899850200,0.9360146252285193,7.859601534836851
