Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,24.25,29.62,22.25,27.53,14.0,181998600,,
1998-06-30,13,1998-13,1998,4,1,27.53,30.38,25.53,26.45,13.51,148195600,-0.03500000000000003,-0.3630133327624526
1998-09-30,26,1998-26,1998,7,1,26.56,28.19,19.53,22.25,11.43,225447000,-0.15396002960769806,-1.5968440988598944
1998-12-31,39,1998-39,1998,10,1,22.25,26.09,20.56,23.0,11.89,223164000,0.04024496937882782,0.41741315603231793
1999-03-31,01,1999-01,1999,1,4,23.28,26.5,21.0,22.97,11.95,210321600,0.005046257359125228,0.05233882005466001
1999-06-30,13,1999-13,1999,4,1,23.16,33.22,23.16,30.0,15.69,221696800,0.3129707112970712,3.2460725989995747
1999-09-30,26,1999-26,1999,7,1,30.31,31.97,26.28,27.41,14.41,168870800,-0.08158062460165705,-0.8461386978711438
1999-12-31,39,1999-39,1999,10,1,27.41,29.44,21.56,23.53,12.45,215346600,-0.13601665510062466,-1.4107388365508218
2000-03-31,01,2000-01,2000,1,3,23.84,27.56,16.75,19.72,10.5,294870800,-0.15662650602409633,-1.624500284307015
2000-06-30,14,2000-14,2000,4,3,19.72,22.44,16.91,16.94,9.09,210905000,-0.13428571428571434,-1.3927858481498177
2000-09-30,27,2000-27,2000,7,3,17.09,19.81,14.5,15.5,8.4,215844600,-0.07590759075907583,-0.7872990715262983
2000-12-31,40,2000-40,2000,10,2,15.5,23.97,14.78,23.66,12.96,216263200,0.5428571428571429,5.630410875499261
2001-03-31,00,2001-00,2001,1,2,23.62,24.81,19.88,22.19,12.25,254720800,-0.05478395061728403,-0.5682086998706823
2001-06-30,13,2001-13,2001,4,2,22.19,28.42,20.75,25.02,13.91,289269000,0.13551020408163272,1.4054860230569588
2001-09-30,26,2001-26,2001,7,2,25.02,27.86,20.16,22.4,12.54,271231600,-0.09849029475197701,-1.0215225755048982
2001-12-31,39,2001-39,2001,10,1,22.42,26.62,21.67,26.12,14.73,232953200,0.17464114832535893,1.8113447226014376
2002-03-31,00,2002-00,2002,1,2,26.17,30.0,23.38,28.42,16.15,256203800,0.09640190088255252,0.9998621521145995
2002-06-30,13,2002-13,2002,4,1,28.5,29.81,22.95,24.48,13.99,258575600,-0.1337461300309597,-1.3871893830462567
2002-09-30,26,2002-26,2002,7,1,24.6,24.7,18.17,18.61,10.72,293021400,-0.2337383845604003,-2.4242899992509326
2002-12-31,39,2002-39,2002,10,1,18.67,25.42,16.88,22.86,13.29,249004400,0.23973880597014907,2.4865252270775633
2003-03-31,00,2003-00,2003,1,2,22.98,26.65,20.62,24.6,14.41,257511800,0.08427389014296471,0.8740727350186971
2003-06-30,13,2003-13,2003,4,1,24.6,29.12,24.49,27.83,16.41,244897200,0.13879250520471897,1.4395294250518584
2003-09-30,26,2003-26,2003,7,1,27.55,36.99,26.55,34.42,20.42,383489800,0.24436319317489352,2.5344884902540867
2003-12-31,39,2003-39,2003,10,1,34.47,42.47,34.45,41.51,24.75,304219600,0.21204701273261506,2.199311222696821
2004-03-31,00,2004-00,2004,1,2,41.58,42.85,36.26,39.53,23.67,328066000,-0.043636363636363584,-0.4525880512363036
2004-06-30,13,2004-13,2004,4,1,39.58,42.38,36.01,39.72,23.89,303209400,0.009294465568229882,0.0964004263476854
2004-09-30,26,2004-26,2004,7,1,39.6,40.65,34.25,40.22,24.32,294007800,0.017999162829635873,0.1866838881634334
2004-12-31,39,2004-39,2004,10,1,40.22,49.36,38.38,48.76,29.63,299203800,0.21833881578947367,2.2645686054612564
2005-03-31,01,2005-01,2005,1,3,48.05,49.98,43.2,45.72,27.91,360316000,-0.05804927438407015,-0.6020760159600959
2005-06-30,13,2005-13,2005,4,1,46.0,51.49,41.31,47.65,29.23,330384000,0.04729487638839136,0.49053344858109027
2005-09-30,26,2005-26,2005,7,1,47.88,59.88,47.42,58.75,36.2,290467600,0.23845364351693465,2.473195766926634
2005-12-31,40,2005-40,2005,10,3,58.76,59.84,48.25,57.77,35.76,252185400,-0.012154696132596787,-0.1260661929088243
2006-03-31,01,2006-01,2006,1,3,57.87,77.21,57.05,71.81,44.62,275760400,0.24776286353467558,2.5697492236140356
2006-06-30,14,2006-14,2006,4,3,72.71,82.03,64.41,74.48,46.43,336225200,0.040564769161810954,0.4207300584619584
2006-09-30,27,2006-27,2006,7,3,74.92,75.43,62.09,65.8,41.2,355515200,-0.11264268791729481,-1.1683085014908001
2006-12-31,40,2006-40,2006,10,2,65.45,70.92,58.82,61.33,38.57,459915100,-0.06383495145631068,-0.6620839564252772
2007-03-31,00,2007-00,2007,1,3,61.71,68.43,57.98,67.03,42.36,385110000,0.09826289862587512,1.0191640662022263
2007-06-30,13,2007-13,2007,4,2,67.04,82.89,65.86,78.3,49.7,349548900,0.17327667610953745,1.7971926767006627
2007-09-30,26,2007-26,2007,7,2,78.6,87.0,70.59,78.43,49.99,443157700,0.0058350100603621335,0.060519612820414175
2007-12-31,39,2007-39,2007,10,1,78.91,82.74,67.0,72.56,46.47,390922500,-0.07041408281656336,-0.7303214536186283
2008-03-31,00,2008-00,2008,1,2,72.56,78.63,59.6,78.29,50.42,461749700,0.0850010759629869,0.8816149678205213
2008-06-30,13,2008-13,2008,4,1,78.89,85.96,72.56,73.82,47.76,415661900,-0.052756842522808434,-0.5471839208636728
2008-09-30,26,2008-26,2008,7,1,72.98,75.87,58.11,59.6,38.79,502294200,-0.1878140703517588,-1.9479717605163895
2008-12-31,39,2008-39,2008,10,1,58.71,59.03,31.95,44.67,29.37,795254000,-0.242846094354215,-2.5187534302819583
2009-03-31,00,2009-00,2009,1,2,44.91,47.12,21.71,27.96,18.58,1005139200,-0.3673816819884237,-3.8104128221283737
2009-06-30,13,2009-13,2009,4,1,27.5,40.96,27.44,33.04,22.24,863829500,0.19698600645855757,2.0431013346310554
2009-09-30,26,2009-26,2009,7,1,33.48,54.71,30.01,51.33,34.98,813498600,0.5728417266187049,5.941405266435819
2009-12-31,39,2009-39,2009,10,1,50.82,61.28,47.5,56.99,39.12,537833200,0.11835334476843906,1.2275383465135603
2010-03-31,01,2010-01,2010,1,4,57.65,64.42,50.5,62.85,43.44,586446100,0.11042944785276076,1.145353197147089
2010-06-30,13,2010-13,2010,4,1,63.29,72.83,54.89,60.07,41.77,641843600,-0.03844383057090228,-0.39873208741995103
2010-09-30,26,2010-26,2010,7,1,59.67,80.08,58.06,78.68,55.08,509203900,0.3186497486234139,3.3049744923343747
2010-12-31,39,2010-39,2010,10,1,78.29,94.89,76.51,93.66,65.93,417845300,0.19698620188816274,2.0431033615896923
