Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,9.44,11.67,8.58,11.4,7.66,3601313400,,
1998-06-30,13,1998-13,1998,4,1,11.45,15.71,11.01,15.34,10.32,3101588400,0.34725848563968675,3.3757757566176845
1998-09-30,26,1998-26,1998,7,1,15.57,17.54,13.58,15.45,10.39,4830075600,0.006782945736434121,0.06593850034601056
1998-12-31,39,1998-39,1998,10,1,15.03,24.44,10.28,23.2,15.6,4475859200,0.501443695861405,4.874643937582857
1999-03-31,01,1999-01,1999,1,4,23.62,29.38,22.47,27.39,18.42,4042055200,0.18076923076923102,1.7572972641664262
1999-06-30,13,1999-13,1999,4,1,27.62,32.72,24.81,32.22,21.66,3345404200,0.17589576547231256,1.7099212411737867
1999-09-30,26,1999-26,1999,7,1,32.53,36.78,28.08,34.28,23.05,2376894800,0.06417359187442284,0.6238455347338411
1999-12-31,39,1999-39,1999,10,1,33.97,53.59,32.53,53.56,36.01,2584832800,0.5622559652928416,5.465813321027535
2000-03-31,01,2000-01,2000,1,3,54.97,82.0,48.62,77.31,51.98,3441428100,0.44348792002221615,4.31124315365816
2000-06-30,14,2000-14,2000,4,3,76.88,77.0,50.0,63.56,42.74,3051839300,-0.17776067718353206,-1.7280504561629328
2000-09-30,27,2000-27,2000,7,3,63.38,70.0,54.62,55.25,37.15,2778517100,-0.1307908282639214,-1.271446272732445
2000-12-31,40,2000-40,2000,10,2,57.38,59.44,35.16,38.25,25.72,3865510100,-0.307671601615074,-2.9909429911226924
2001-03-31,00,2001-00,2001,1,2,38.12,44.5,15.0,15.81,10.63,5419452200,-0.5867029548989113,-5.7034678586335215
2001-06-30,13,2001-13,2001,4,2,15.94,24.13,13.19,18.2,12.24,5605671900,0.15145813734713065,1.4723577085728154
2001-09-30,26,2001-26,2001,7,2,18.69,20.75,11.04,12.18,8.19,3840770200,-0.3308823529411765,-3.216579785786477
2001-12-31,39,2001-39,2001,10,1,12.05,21.92,11.15,18.11,12.18,4855937900,0.4871794871794872,4.735978442434334
2002-03-31,00,2002-00,2002,1,2,18.44,21.84,14.15,16.93,11.38,4239808300,-0.06568144499178974,-0.6385037049691081
2002-06-30,13,2002-13,2002,4,1,16.87,17.55,12.27,13.95,9.38,4420646500,-0.17574692442882245,-1.7084743248075012
2002-09-30,26,2002-26,2002,7,1,13.84,15.29,10.39,10.48,7.05,5049993800,-0.24840085287846492,-2.414759067803883
2002-12-31,39,2002-39,2002,10,1,10.66,15.48,8.12,13.1,8.81,5868169700,0.24964539007092212,2.4268574862911
2003-03-31,00,2003-00,2003,1,2,13.11,15.63,12.33,12.98,8.73,4199801700,-0.009080590238365494,-0.0882744055224035
2003-06-30,13,2003-13,2003,4,1,13.04,19.1,12.8,16.79,11.29,3875391600,0.2932416953035508,2.8506667130442125
2003-09-30,26,2003-26,2003,7,1,16.76,21.56,16.57,19.59,13.17,3487487800,0.16651904340124002,1.618768073279965
2003-12-31,39,2003-39,2003,10,1,19.68,24.6,19.24,24.23,16.29,2816691200,0.2369020501138952,2.3029766889478065
2004-03-31,00,2004-00,2004,1,2,24.36,29.39,21.94,23.57,15.85,3768035200,-0.027010435850214787,-0.26257435970460713
2004-06-30,13,2004-13,2004,4,1,23.69,24.83,20.68,23.7,15.94,3325138500,0.005678233438485725,0.055199350267123616
2004-09-30,26,2004-26,2004,7,1,23.65,23.68,17.53,18.1,12.17,3280556900,-0.23651191969887075,-2.299184145780625
2004-12-31,39,2004-39,2004,10,1,18.27,20.35,17.8,19.32,12.99,3416920000,0.06737880032867705,0.6550040677639144
2005-03-31,01,2005-01,2005,1,3,19.42,19.61,17.13,17.89,12.03,3829442200,-0.07390300230946889,-0.7184272634202084
2005-06-30,13,2005-13,2005,4,1,18.01,20.25,17.01,19.08,12.83,3467446800,0.06650041562759768,0.6464650977991478
2005-09-30,26,2005-26,2005,7,1,19.13,20.23,17.3,17.92,12.05,3310102400,-0.06079501169134838,-0.5910016171754209
2005-12-31,40,2005-40,2005,10,3,17.93,18.12,16.83,17.12,11.51,3384853800,-0.04481327800829882,-0.43563968551066695
2006-03-31,01,2006-01,2006,1,3,17.21,22.0,17.18,21.67,14.57,4006578900,0.265855777584709,2.5844422118986397
2006-06-30,14,2006-14,2006,4,3,21.85,22.0,19.08,19.53,13.13,2983379500,-0.09883321894303354,-0.9607793567428095
2006-09-30,27,2006-27,2006,7,3,19.78,23.53,17.1,22.98,15.45,3232813900,0.17669459253617648,1.7176868139313664
2006-12-31,40,2006-40,2006,10,2,23.05,27.96,22.8,27.33,18.38,3022631700,0.1896440129449839,1.843570964459109
2007-03-31,00,2007-00,2007,1,3,27.46,28.99,24.82,25.53,17.17,3379057100,-0.06583242655059829,-0.6399714297533805
2007-06-30,13,2007-13,2007,4,2,25.67,28.48,25.31,27.85,18.73,3121426400,0.09085614443797319,0.883232469232458
2007-09-30,26,2007-26,2007,7,2,28.02,33.38,27.56,33.13,22.28,3424940800,0.18953550453817414,1.8425161304831363
2007-12-31,39,2007-39,2007,10,1,33.01,34.24,26.82,27.07,18.2,3590345900,-0.1831238779174148,-1.7801873045453827
2008-03-31,00,2008-00,2008,1,2,27.0,27.3,21.77,24.09,16.2,4419574700,-0.10989010989010994,-1.0682658140829329
2008-06-30,13,2008-13,2008,4,1,24.52,27.72,22.91,23.26,15.64,3243798700,-0.03456790123456788,-0.3360421350967049
2008-09-30,26,2008-26,2008,7,1,23.05,25.25,20.56,22.56,15.17,3351227400,-0.030051150895140655,-0.2921338162936509
2008-12-31,39,2008-39,2008,10,1,22.25,22.44,14.2,16.3,10.96,4472801700,-0.27752142386288725,-2.69784651307391
2009-03-31,00,2009-00,2009,1,2,16.41,17.98,13.61,16.77,11.28,3591718600,0.029197080291970767,0.2838312089972167
2009-06-30,13,2009-13,2009,4,1,16.51,20.35,16.3,18.65,12.54,3411717100,0.11170212765957444,1.0858808354853633
2009-09-30,26,2009-26,2009,7,1,18.84,23.87,17.82,23.54,15.83,3151380400,0.262360446570973,2.5504633339576497
2009-12-31,39,2009-39,2009,10,1,23.35,24.83,22.55,23.94,16.1,2553643300,0.017056222362602735,0.16580727133302448
2010-03-31,01,2010-01,2010,1,4,24.11,26.85,22.35,26.03,17.5,3137478600,0.08695652173913038,0.8453233833177981
2010-06-30,13,2010-13,2010,4,1,26.2,27.74,21.24,21.31,14.33,3668906000,-0.18114285714285716,-1.7609293679343059
2010-09-30,26,2010-26,2010,7,1,21.2,26.0,19.82,21.9,14.73,3768816400,0.027913468248429885,0.271352935328812
2010-12-31,39,2010-39,2010,10,1,22.12,24.6,19.0,20.23,13.6,4539733800,-0.07671418873048208,-0.7457554220105095
2011-03-31,01,2011-01,2011,1,3,20.45,22.34,16.97,17.15,11.57,4542781700,-0.14926470588235285,-1.4510348811436764
2011-06-30,13,2011-13,2011,4,1,17.29,18.29,14.78,15.61,10.53,4884443400,-0.08988764044943831,-0.8738174299464895
2011-09-30,26,2011-26,2011,7,1,15.63,16.84,13.3,15.5,10.5,4525538400,-0.002849002849002802,-0.0276957803651126
2011-12-31,40,2011-40,2011,10,3,15.3,19.19,14.93,18.08,12.29,3261533100,0.17047619047619045,1.6572363662473222
2012-03-31,01,2012-01,2012,1,3,18.55,21.24,18.35,21.15,14.43,2635069900,0.1741253051261189,1.6927102085802308
2012-06-30,14,2012-14,2012,4,2,21.14,21.3,15.92,17.17,11.76,2794713100,-0.18503118503118499,-1.7987286545234236
2012-09-30,27,2012-27,2012,7,2,17.11,19.75,14.96,19.1,13.14,2567738300,0.11734693877551017,1.1407552800385594
2012-12-31,40,2012-40,2012,10,1,19.23,20.54,16.68,19.65,13.72,2440909400,0.04414003044140036,0.42909489853346455
2013-03-31,00,2013-00,2013,1,2,20.12,21.98,20.01,20.9,14.59,2141416200,0.06341107871720109,0.6164329774121402
2013-06-30,13,2013-13,2013,4,1,21.04,24.98,19.98,24.34,17.13,2629635200,0.17409184372858122,1.6923849230097943
2013-09-30,26,2013-26,2013,7,1,24.42,26.49,23.02,23.43,16.61,2182380100,-0.030356100408639786,-0.2950982972703112
2013-12-31,39,2013-39,2013,10,1,23.33,24.0,20.22,22.43,16.02,2903361600,-0.03552077062010839,-0.34530518698442303
2014-03-31,00,2014-00,2014,1,2,22.17,23.0,21.27,22.42,16.13,2681800600,0.006866416978776435,0.06674994256535584
2014-06-30,13,2014-13,2014,4,1,22.33,25.17,22.3,24.85,18.03,2138422300,0.11779293242405475,1.145090881927708
2014-09-30,26,2014-26,2014,7,1,24.99,26.08,24.27,25.17,18.54,1646827100,0.028286189683860208,0.2749762419943918
2014-12-31,39,2014-39,2014,10,1,25.2,28.59,22.49,27.82,20.5,1807826800,0.10571736785329033,1.0277016752957502
2015-03-31,00,2015-00,2015,1,2,27.86,30.31,25.92,27.53,20.58,1905202100,0.0039024390243902474,0.03793646403182319
2015-06-30,13,2015-13,2015,4,1,27.31,29.9,26.84,27.46,20.53,1512393100,-0.0024295432458696364,-0.023618121739927417
2015-09-30,26,2015-26,2015,7,1,27.42,29.21,23.03,26.25,19.77,1767608200,-0.03701899659035568,-0.35986976961507944
2015-12-31,39,2015-39,2015,10,1,26.05,29.49,25.34,27.16,20.62,1642526100,0.04299443601416297,0.41795832432632785
2016-03-31,01,2016-01,2016,1,4,26.39,28.68,22.46,28.47,21.79,1962407600,0.056741028128030946,0.5515919555063512
2016-06-30,13,2016-13,2016,4,1,28.3,29.41,25.81,28.69,22.16,1484137100,0.01698026617714543,0.1650688846267656
2016-09-30,26,2016-26,2016,7,1,28.78,31.95,28.17,31.72,24.72,1428142500,0.11552346570397098,1.1230288991370019
2016-12-31,40,2016-40,2016,10,3,31.31,31.89,29.12,30.22,23.74,1378620600,-0.039644012944983875,-0.3853881282359063
2017-03-31,01,2017-01,2017,1,3,30.37,34.53,29.8,33.8,26.79,1269192300,0.12847514743049704,1.2489350324293085
2017-06-30,14,2017-14,2017,4,3,33.7,34.6,30.37,31.3,25.02,1352340200,-0.06606942889137735,-0.6422753813898388
2017-09-30,27,2017-27,2017,7,3,31.09,34.1,30.36,33.63,27.13,1265284300,0.08433253397282181,0.8198150238291926
2017-12-31,40,2017-40,2017,10,2,33.61,38.99,33.17,38.3,31.17,1185630600,0.14891264283081473,1.4476123991502012
2018-03-31,00,2018-00,2018,1,2,38.67,46.16,37.35,42.89,35.17,1806394900,0.12832852101379522,1.2475096449348317
2018-06-30,13,2018-13,2018,4,2,42.52,46.37,40.19,43.03,35.56,1455826400,0.011088996303667997,0.10779856053967474
2018-09-30,26,2018-26,2018,7,2,42.56,49.06,40.94,48.65,40.52,1257407800,0.1394825646794151,1.3559405451194388
2018-12-31,39,2018-39,2018,10,1,49.0,49.47,40.25,43.33,36.33,1683343800,-0.10340572556762107,-1.0052296945994121
2019-03-31,00,2019-00,2019,1,2,42.28,54.23,40.96,53.99,45.62,1301936800,0.2557115331681805,2.4858277912677402
2019-06-30,13,2019-13,2019,4,1,54.48,58.15,51.06,54.73,46.54,1400354200,0.02016659359929851,0.19604387101057189
2019-09-30,26,2019-26,2019,7,1,55.26,58.26,46.0,49.41,42.28,1204627800,-0.09153416415986249,-0.88982364737299
2019-12-31,39,2019-39,2019,10,1,49.65,49.87,43.4,47.96,41.35,1265472600,-0.021996215704825017,-0.21383002801759396
2020-03-31,00,2020-00,2020,1,2,48.06,50.28,32.4,39.31,34.14,1931820900,-0.17436517533252727,-1.6950420393662706
2020-06-30,13,2020-13,2020,4,1,38.17,48.29,37.47,46.64,40.9,1551877000,0.19800820152313992,1.9248810726164507
2020-09-30,26,2020-26,2020,7,1,46.54,48.45,37.6,39.39,34.81,1420841900,-0.14889975550122236,-1.4474871185980922
2020-12-31,39,2020-39,2020,10,1,39.1,45.57,35.28,44.75,39.91,1427736600,0.14650962367135856,1.4242521238606378
2021-03-31,01,2021-01,2021,1,4,44.31,52.94,43.35,51.71,46.49,1380400300,0.16487095965923348,1.6027466904449488
2021-06-30,13,2021-13,2021,4,1,51.75,55.35,50.1,53.0,47.99,1176906200,0.03226500322650039,0.31365515943712746
2021-09-30,26,2021-26,2021,7,1,53.05,60.27,52.34,54.43,49.63,1025954800,0.03417378620545941,0.3322108566237477
2021-12-31,39,2021-39,2021,10,1,54.6,64.29,51.08,63.37,58.18,1277203500,0.17227483376989716,1.6747213714431293
2022-03-31,01,2022-01,2022,1,3,62.9,63.35,52.7,55.76,51.49,1400577600,-0.1149879683740116,-1.1178232123677343
2022-06-30,13,2022-13,2022,4,1,56.17,56.19,41.02,42.64,39.65,1520129600,-0.22994756263352112,-2.235370593757069
2022-09-30,26,2022-26,2022,7,1,42.52,50.0,39.96,40.0,37.53,1207134700,-0.053467843631778034,-0.5197726124914986
2022-12-31,40,2022-40,2022,10,3,40.67,50.71,38.6,47.64,45.11,1214884300,0.2019717559285905,1.9634116526462169
2023-03-31,01,2023-01,2023,1,3,47.86,52.35,45.67,52.28,49.9,1142430500,0.10618488140101978,1.0322464768357562
2023-06-30,14,2023-14,2023,4,3,52.06,52.56,45.56,51.74,49.75,1161604400,-0.0030060120240480437,-0.029222100926316174
2023-09-30,27,2023-27,2023,7,3,51.36,58.19,50.06,53.76,52.09,1149377400,0.047035175879396984,0.45723924110717507
2023-12-31,40,2023-40,2023,10,2,53.84,54.59,46.2,50.52,49.3,1189797900,-0.05356114417354585,-0.520679607482273
