Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,38.25,45.09,33.88,40.16,15.5,194859800,,
1998-06-30,13,1998-13,1998,4,1,40.69,43.41,38.69,41.88,16.29,159743600,0.05096774193548392,0.769585138898767
1998-09-30,26,1998-26,1998,7,1,42.0,44.5,36.5,42.03,16.47,191475000,0.011049723756906049,0.16684480946822638
1998-12-31,39,1998-39,1998,10,1,42.0,44.72,39.19,41.47,16.37,194358800,-0.006071645415907545,-0.09167853829310331
1999-03-31,01,1999-01,1999,1,4,41.53,45.16,36.56,44.38,17.66,176517600,0.07880268784361633,1.189877659216135
1999-06-30,13,1999-13,1999,4,1,44.16,52.47,43.19,47.53,19.03,183302200,0.07757644394110996,1.1713620442762247
1999-09-30,26,1999-26,1999,7,1,48.25,50.41,42.78,44.38,17.88,148058400,-0.060430898581187664,-0.9124736492593655
1999-12-31,39,1999-39,1999,10,1,44.41,48.47,41.69,43.31,17.58,178137400,-0.016778523489932917,-0.2533465647126603
2000-03-31,01,2000-01,2000,1,3,42.94,47.12,34.97,46.22,18.92,263650800,0.0762229806598409,1.15092548601888
2000-06-30,14,2000-14,2000,4,3,46.31,47.44,41.16,42.41,17.48,195606400,-0.07610993657505294,-1.1492185819185698
2000-09-30,27,2000-27,2000,7,3,42.5,46.16,38.44,42.62,17.71,206026400,0.013157894736842035,0.19867704285361112
2000-12-31,40,2000-40,2000,10,2,43.09,44.47,39.09,42.22,17.67,253545600,-0.0022586109542630517,-0.03410379504658163
2001-03-31,00,2001-00,2001,1,2,42.59,46.72,39.22,43.9,18.52,295987600,0.04810413129598179,0.7263461781744946
2001-06-30,13,2001-13,2001,4,2,43.9,49.24,42.29,45.25,19.22,304760400,0.03779697624190059,0.5707137516097275
2001-09-30,26,2001-26,2001,7,2,45.24,46.81,39.3,42.38,18.12,336788400,-0.05723204994797071,-0.8641727774485919
2001-12-31,39,2001-39,2001,10,1,41.92,46.88,41.0,44.81,19.31,398078800,0.0656732891832228,0.9916308915938544
2002-03-31,00,2002-00,2002,1,2,44.81,45.8,40.4,45.13,19.62,317508600,0.01605385810460902,0.2424045121507564
2002-06-30,13,2002-13,2002,4,1,44.99,45.52,41.78,44.25,19.39,313308000,-0.011722731906218198,-0.1770068659062771
2002-09-30,26,2002-26,2002,7,1,44.25,44.47,32.82,34.62,15.31,427940000,-0.21041774110366163,-3.1771932670473464
2002-12-31,39,2002-39,2002,10,1,34.92,37.72,32.71,33.24,14.85,404321800,-0.030045721750489918,-0.45367403123202427
2003-03-31,00,2003-00,2003,1,2,33.6,35.2,30.66,32.33,14.6,416924200,-0.01683501683501687,-0.2541995834490666
2003-06-30,13,2003-13,2003,4,1,32.4,38.12,31.07,36.1,16.48,412452200,0.12876712328767126,1.9443134166386382
2003-09-30,26,2003-26,2003,7,1,36.1,37.28,35.03,35.72,16.47,314551600,-0.0006067961165049374,-0.009162290811211523
2003-12-31,39,2003-39,2003,10,1,35.8,43.49,35.5,43.19,20.11,322685400,0.22100789313904068,3.3370987938690515
2004-03-31,00,2004-00,2004,1,2,43.24,45.71,41.99,43.89,20.6,327998600,0.02436598707110904,0.36791313156979416
2004-06-30,13,2004-13,2004,4,1,43.97,47.5,43.95,47.06,22.26,395404600,0.08058252427184476,1.2167522197287255
2004-09-30,26,2004-26,2004,7,1,47.03,54.49,46.21,53.64,25.59,394440300,0.14959568733153628,2.2588133874839236
2004-12-31,39,2004-39,2004,10,1,53.61,56.07,50.99,52.51,25.24,345936300,-0.013677217663149777,-0.20651853614326401
2005-03-31,01,2005-01,2005,1,3,52.46,63.15,50.4,58.31,28.22,400530000,0.11806656101426305,1.782740755367911
2005-06-30,13,2005-13,2005,4,1,59.18,59.48,49.81,55.92,27.31,581169600,-0.03224663359319635,-0.4869066011252953
2005-09-30,26,2005-26,2005,7,1,56.35,65.98,56.11,64.73,31.85,517469000,0.16623947272061534,2.510125480271345
2005-12-31,40,2005-40,2005,10,3,65.25,65.49,54.8,56.77,28.16,583043200,-0.11585557299843019,-1.7493560407493571
2006-03-31,01,2006-01,2006,1,3,57.25,62.72,53.76,57.97,28.98,596116200,0.02911931818181812,0.4396858419970556
2006-06-30,14,2006-14,2006,4,3,58.35,63.65,55.41,62.06,31.29,594317600,0.07971014492753614,1.203579766852316
2006-09-30,27,2006-27,2006,7,3,62.27,68.47,60.72,64.86,32.96,565875700,0.053371684244167605,0.8058833582288439
2006-12-31,40,2006-40,2006,10,2,64.9,76.2,62.22,73.53,37.64,536888500,0.1419902912621358,2.1439760498232014
2007-03-31,00,2007-00,2007,1,3,72.77,74.98,64.99,73.96,38.14,613009700,0.013283740701381497,0.20057724836443297
2007-06-30,13,2007-13,2007,4,2,74.05,85.19,74.05,84.24,43.75,580907600,0.14708966963817516,2.2209738854500816
2007-09-30,26,2007-26,2007,7,2,84.7,95.5,78.25,93.58,48.95,712216100,0.118857142857143,1.7946781105313743
2007-12-31,39,2007-39,2007,10,1,93.3,95.2,81.92,93.33,49.14,604956700,0.0038815117466801663,0.058608712948030064
2008-03-31,00,2008-00,2008,1,2,93.96,95.21,76.4,85.36,45.27,801057700,-0.0787545787545787,-1.1891512381787623
2008-06-30,13,2008-13,2008,4,1,85.08,104.63,84.57,99.13,52.93,787221500,0.169206980340181,2.554933228797411
2008-09-30,26,2008-26,2008,7,1,98.26,100.0,77.5,82.48,44.37,975657200,-0.16172303041753266,-2.4419296617956925
2008-12-31,39,2008-39,2008,10,1,81.51,83.7,55.5,73.97,40.14,1355532500,-0.09533468559837721,-1.439501819620897
2009-03-31,00,2009-00,2009,1,2,74.23,78.45,56.12,67.24,36.82,993583300,-0.08271051320378675,-1.2488836933937078
2009-06-30,13,2009-13,2009,4,1,66.0,72.75,63.06,66.25,36.63,792219000,-0.0051602390005430765,-0.07791679790347911
2009-09-30,26,2009-26,2009,7,1,66.93,73.37,60.88,70.43,39.33,645978500,0.07371007371007354,1.112981959966179
2009-12-31,39,2009-39,2009,10,1,70.4,79.82,67.87,76.99,43.37,569577400,0.10272056953979147,1.5510246437267496
2010-03-31,01,2010-01,2010,1,4,78.2,81.09,69.55,75.83,43.13,651676800,-0.005533779109983761,-0.08355705007262675
2010-06-30,13,2010-13,2010,4,1,76.4,83.41,67.8,67.86,38.96,801243700,-0.09668444238349183,-1.4598824118053981
