Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2017-09-30,32,2017-32,2017,8,9,19.92,20.32,19.61,20.25,17.78,46800,,
2017-12-31,40,2017-40,2017,10,2,20.33,22.27,20.33,22.13,19.54,146200,0.09898762654668158,1.8796321647461154
2018-03-31,00,2018-00,2018,1,2,22.13,23.5,19.75,21.4,18.95,225600,-0.030194472876151512,-0.5733494619027326
2018-06-30,13,2018-13,2018,4,2,20.89,22.57,20.87,21.84,19.42,701600,0.024802110817942147,0.470956288915733
2018-09-30,26,2018-26,2018,7,2,21.62,23.9,21.61,23.62,21.13,418700,0.0880535530381048,1.6720098893627657
2018-12-31,39,2018-39,2018,10,1,23.81,23.96,20.07,21.31,19.14,5083500,-0.09417889256980594,-1.7883212467054612
2019-03-31,00,2019-00,2019,1,2,21.17,23.96,20.95,23.65,21.35,179800,0.11546499477533967,2.192513606532637
2019-06-30,13,2019-13,2019,4,1,23.89,24.6,22.81,24.44,22.1,2240600,0.03512880562060894,0.6670453192699994
2019-09-30,26,2019-26,2019,7,1,24.73,25.17,23.23,24.52,22.35,4211500,0.011312217194570096,0.21480267822646187
2019-12-31,39,2019-39,2019,10,1,24.57,26.27,23.43,26.04,23.86,1074600,0.06756152125279624,1.2828957807776762
2020-03-31,00,2020-00,2020,1,2,26.22,26.67,17.25,20.22,18.67,3247800,-0.21751886001676435,-4.130369218758932
2020-06-30,13,2020-13,2020,4,1,19.35,25.46,19.28,23.29,21.62,4024200,0.15800749866095343,3.0003343560737514
2020-09-30,26,2020-26,2020,7,1,23.47,25.78,22.96,24.4,22.79,713900,0.05411655874190546,1.027595347067831
2020-12-31,39,2020-39,2020,10,1,24.42,27.23,22.98,27.16,25.45,1340500,0.11671785870996043,2.2163036844617503
2021-03-31,01,2021-01,2021,1,4,27.31,29.82,26.62,29.59,27.83,2112100,0.09351669941060892,1.7757471543191305
2021-06-30,13,2021-13,2021,4,1,29.67,31.17,29.55,30.62,28.92,2166200,0.039166367229608534,0.7437127870351828
2021-09-30,26,2021-26,2021,7,1,30.7,31.5,29.77,29.97,28.41,1408900,-0.01763485477178428,-0.33486044070407567
2021-12-31,39,2021-39,2021,10,1,30.24,32.01,29.7,31.76,30.24,1661600,0.06441393875395973,1.2231277318567841
2022-03-31,01,2022-01,2022,1,3,31.88,32.57,29.07,31.02,29.67,3475900,-0.018849206349206282,-0.3579192245527434
2022-06-30,13,2022-13,2022,4,1,31.03,31.7,26.69,27.18,26.11,2188400,-0.11998651836872265,-2.2783708139056524
2022-09-30,26,2022-26,2022,7,1,27.15,30.11,24.82,24.82,23.97,2062500,-0.08196093450785147,-1.5563198566131493
2022-12-31,40,2022-40,2022,10,3,25.1,30.21,25.03,28.83,27.99,1879200,0.1677096370463078,3.184563961451045
2023-03-31,01,2023-01,2023,1,3,28.95,30.29,27.93,29.56,28.84,1453300,0.030367988567345572,0.5766442744528921
2023-06-30,14,2023-14,2023,4,3,29.67,30.62,28.51,30.12,29.53,2507900,0.0239251040221915,0.45430319559990884
2023-09-30,27,2023-27,2023,7,3,30.09,31.09,28.74,29.03,28.6,2687800,-0.031493396545885566,-0.5980141477261754
2023-12-31,40,2023-40,2023,10,2,28.91,32.79,28.04,32.6,32.31,2998500,0.12972027972027966,2.4632008937714533
