Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,16.91,17.06,11.69,15.66,6.09,51815000,,
1998-06-30,13,1998-13,1998,4,1,15.5,17.0,10.75,11.22,4.37,34026400,-0.2824302134646962,-2.139555238054859
1998-09-30,26,1998-26,1998,7,1,11.5,12.31,8.06,10.5,4.11,34239000,-0.05949656750572074,-0.4507173332893485
1998-12-31,39,1998-39,1998,10,1,10.5,12.62,8.25,9.69,3.8,37347000,-0.07542579075425804,-0.5713894548073013
1999-03-31,01,1999-01,1999,1,4,9.81,12.12,8.0,11.34,4.47,29446600,0.1763157894736842,1.3356834819209364
1999-06-30,13,1999-13,1999,4,1,11.34,13.47,10.19,11.81,4.67,21092800,0.044742729306487705,0.3389493626698427
1999-09-30,26,1999-26,1999,7,1,12.0,15.19,11.22,12.66,5.01,20753000,0.07280513918629539,0.5515366610124476
1999-12-31,39,1999-39,1999,10,1,12.78,13.84,9.19,10.88,4.32,38171800,-0.13772455089820346,-1.0433348495834278
2000-03-31,01,2000-01,2000,1,3,10.59,15.62,9.88,15.5,6.17,44140200,0.4282407407407407,3.244145549303546
2000-06-30,14,2000-14,2000,4,3,15.56,19.0,14.38,18.7,7.46,43056400,0.20907617504051856,1.5838603808453102
2000-09-30,27,2000-27,2000,7,3,18.53,19.31,14.84,18.06,7.23,32161200,-0.030831099195710365,-0.23356155479950683
2000-12-31,40,2000-40,2000,10,2,18.09,22.41,14.41,21.94,8.8,39388000,0.21715076071922557,1.6450295520613347
2001-03-31,00,2001-00,2001,1,2,22.06,29.36,19.03,23.15,9.3,66251800,0.05681818181818188,0.43042717361766997
2001-06-30,13,2001-13,2001,4,2,23.35,26.12,15.35,15.41,6.19,64742400,-0.3344086021505377,-2.5333184704448133
2001-09-30,26,2001-26,2001,7,2,15.48,16.65,11.7,13.05,5.26,53601000,-0.15024232633279488,-1.1381634859085648
2001-12-31,39,2001-39,2001,10,1,13.05,17.62,12.35,16.69,6.74,53003800,0.28136882129277585,2.1315146422800497
2002-03-31,00,2002-00,2002,1,2,16.4,20.66,13.85,20.05,8.12,50029200,0.20474777448071202,1.5510705033866394
2002-06-30,13,2002-13,2002,4,1,20.08,21.62,16.85,17.86,7.25,40543200,-0.1071428571428571,-0.811662670250462
2002-09-30,26,2002-26,2002,7,1,17.74,19.17,14.45,17.11,6.96,46327600,-0.040000000000000036,-0.30302073022683956
2002-12-31,39,2002-39,2002,10,1,12.53,15.11,11.73,13.95,7.78,43622800,0.11781609195402298,0.8925179554095123
2003-03-31,00,2003-00,2003,1,2,13.95,14.47,11.3,12.81,7.16,44797800,-0.07969151670951158,-0.6037045396550141
2003-06-30,13,2003-13,2003,4,1,12.77,16.4,12.36,14.6,8.18,35628800,0.14245810055865915,1.079193941450335
2003-09-30,26,2003-26,2003,7,1,14.6,15.15,12.85,13.07,7.35,41893000,-0.10146699266503667,-0.768665055282019
2003-12-31,39,2003-39,2003,10,1,13.15,14.28,11.87,13.97,7.88,48496800,0.07210884353741509,0.5462618606130106
2004-03-31,00,2004-00,2004,1,2,14.0,15.44,13.35,14.32,8.1,46755800,0.027918781725888353,0.21149924064056067
2004-06-30,13,2004-13,2004,4,1,14.23,14.91,12.11,13.07,7.42,47339200,-0.08395061728395059,-0.6359694338094156
2004-09-30,26,2004-26,2004,7,1,13.07,14.67,11.97,14.35,8.16,44698000,0.09973045822102433,0.755509906899802
2004-12-31,39,2004-39,2004,10,1,14.35,17.12,13.77,17.02,9.72,51520000,0.19117647058823528,1.4482608429959232
2005-03-31,01,2005-01,2005,1,3,16.97,20.72,15.68,19.84,11.35,65202400,0.16769547325102874,1.2703801190065531
2005-06-30,13,2005-13,2005,4,1,19.99,23.75,18.38,23.46,13.45,72446600,0.18502202643171795,1.4016377389347183
2005-09-30,26,2005-26,2005,7,1,23.5,31.0,23.48,30.19,17.33,73071800,0.28847583643122676,2.1853539652047145
2005-12-31,40,2005-40,2005,10,3,30.2,32.81,24.52,30.95,17.79,72491800,0.026543566070398095,0.20108126933690967
2006-03-31,01,2006-01,2006,1,3,31.27,39.6,29.73,34.91,20.09,101357200,0.12928611579539062,0.9794093304127742
2006-06-30,14,2006-14,2006,4,3,35.06,40.24,26.02,30.13,17.36,106453000,-0.13588850174216027,-1.0294258256835134
2006-09-30,27,2006-27,2006,7,3,30.2,30.6,21.58,23.03,13.29,88331400,-0.23444700460829493,-1.7760575633975173
2006-12-31,40,2006-40,2006,10,2,23.06,27.65,21.26,24.47,14.15,91013000,0.0647103085026337,0.49021412339180287
2007-03-31,00,2007-00,2007,1,3,24.22,31.0,22.72,30.34,17.57,95731900,0.24169611307420502,1.8309733169183584
2007-06-30,13,2007-13,2007,4,2,30.36,36.57,30.0,35.42,20.54,70238500,0.16903813318155936,1.280551463821446
2007-09-30,26,2007-26,2007,7,2,35.45,36.76,27.68,32.83,19.07,76091800,-0.07156767283349552,-0.5421622120660335
2007-12-31,39,2007-39,2007,10,1,32.78,40.6,29.49,40.07,23.31,69609500,0.22233875196643926,1.6843312744648633
2008-03-31,00,2008-00,2008,1,2,40.1,47.89,32.86,46.87,27.29,87236900,0.1707421707421708,1.2934604314702067
2008-06-30,13,2008-13,2008,4,1,47.35,77.24,45.57,72.02,41.97,105208500,0.537925980212532,4.075068083299744
2008-09-30,26,2008-26,2008,7,1,72.24,75.38,39.33,43.19,25.19,117214900,-0.3998093876578508,-3.0287633149906856
2008-12-31,39,2008-39,2008,10,1,42.45,43.27,17.01,22.75,13.29,163586300,-0.47240968638348557,-3.5787482033538986
2009-03-31,00,2009-00,2009,1,2,23.1,28.93,19.5,22.77,13.34,171182700,0.003762227238525151,0.02850082112742991
2009-06-30,13,2009-13,2009,4,1,22.21,37.19,21.76,30.87,18.11,156091800,0.3575712143928036,2.7087872623351266
2009-09-30,26,2009-26,2009,7,1,31.41,41.08,26.64,39.53,23.22,86148000,0.2821645499723908,2.137542699419034
2009-12-31,39,2009-39,2009,10,1,39.54,46.24,36.18,39.88,23.46,109062700,0.010335917312661591,0.07829993029117364
2010-03-31,01,2010-01,2010,1,4,40.71,49.13,36.23,38.08,22.43,156302200,-0.04390451832907083,-0.33259948010831736
2010-06-30,13,2010-13,2010,4,1,38.6,43.72,32.34,36.52,21.54,149629600,-0.03967900133749447,-0.30058899899898267
