Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,50.21,63.36,48.37,61.16,24.49,333582593,,
1998-06-30,13,1998-13,1998,4,1,61.25,64.05,53.2,63.81,25.65,353698327,0.047366271947733685,0.7612167762007258
1998-09-30,26,1998-26,1998,7,1,63.28,66.38,54.87,61.81,24.95,438437298,-0.02729044834307992,-0.43858100404681943
1998-12-31,39,1998-39,1998,10,1,61.43,77.17,58.03,70.37,28.51,377831665,0.14268537074148302,2.2930767708864175
1999-03-31,01,1999-01,1999,1,4,70.91,83.37,64.38,76.46,31.08,333311158,0.09014380918975795,1.4486886344274366
1999-06-30,13,1999-13,1999,4,1,76.75,81.17,62.98,70.25,28.67,361723490,-0.07754182754182748,-1.2461639380704264
1999-09-30,26,1999-26,1999,7,1,70.49,72.46,58.15,61.84,25.35,297227370,-0.1158004883153122,-1.8610135603477531
1999-12-31,39,1999-39,1999,10,1,61.72,77.41,61.55,64.11,26.37,308564947,0.04023668639053257,0.6466381971753702
2000-03-31,01,2000-01,2000,1,3,65.48,75.38,49.62,59.28,24.5,468340197,-0.07091391733029961,-1.1396477138310703
2000-06-30,14,2000-14,2000,4,3,59.52,73.22,59.04,73.12,30.34,328684655,0.23836734693877548,3.8307685179123823
2000-09-30,27,2000-27,2000,7,3,72.58,73.83,60.11,71.03,29.61,301960973,-0.024060646011865527,-0.38667529947615936
2000-12-31,40,2000-40,2000,10,2,70.91,92.26,69.54,89.34,37.39,428227365,0.2627490712597096,4.2226038222883755
2001-03-31,00,2001-00,2001,1,2,89.1,90.89,62.98,72.42,30.44,393374870,-0.18587857715966838,-2.9872287906971455
2001-06-30,13,2001-13,2001,4,2,71.95,77.15,60.73,60.98,25.75,350863378,-0.15407358738501975,-2.476095218477864
2001-09-30,26,2001-26,2001,7,2,61.12,68.23,57.59,63.55,26.98,371685569,0.04776699029126208,0.7676566650305194
2001-12-31,39,2001-39,2001,10,1,63.79,67.37,54.2,56.11,23.94,406812748,-0.11267605633802813,-1.8108012480967268
2002-03-31,00,2002-00,2002,1,2,56.44,61.55,54.11,54.94,23.58,401241680,-0.015037593984962516,-0.2416670838625349
2002-06-30,13,2002-13,2002,4,1,54.99,56.15,45.42,48.32,20.87,472818090,-0.11492790500424077,-1.846990395177539
2002-09-30,26,2002-26,2002,7,1,48.56,51.53,36.74,43.62,18.98,503146687,-0.09056061332055587,-1.4553870357097507
2002-12-31,39,2002-39,2002,10,1,44.18,57.71,41.36,54.02,23.65,491337928,0.24604847207586933,3.954210812904583
2003-03-31,00,2003-00,2003,1,2,54.94,57.48,47.61,52.27,23.05,359849037,-0.025369978858350906,-0.4077174057553935
2003-06-30,13,2003-13,2003,4,1,52.58,60.59,51.62,57.78,25.64,419464307,0.11236442516268985,1.805793066770647
2003-09-30,26,2003-26,2003,7,1,57.73,59.82,47.21,48.3,22.81,420790130,-0.11037441497659917,-1.7738118895284505
2003-12-31,39,2003-39,2003,10,1,48.44,49.57,38.71,44.08,21.0,670982105,-0.07935116177115298,-1.2752414971115211
2004-03-31,00,2004-00,2004,1,2,46.64,47.07,40.89,42.17,20.25,500938654,-0.0357142857142857,-0.573959324173516
2004-06-30,13,2004-13,2004,4,1,42.51,46.55,42.25,45.32,21.93,356992816,0.0829629629629629,1.33328625230233
