Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,16.2,22.73,15.55,22.38,13.82,3988054000,,
1998-06-30,13,1998-13,1998,4,1,22.45,27.14,20.47,27.09,16.74,3347512000,0.2112879884225758,2.5927559058216985
1998-09-30,26,1998-26,1998,7,1,27.28,29.91,23.62,27.52,17.0,3771662000,0.015531660692951199,0.19059202224183414
1998-12-31,39,1998-39,1998,10,1,27.02,36.0,21.94,34.67,21.42,3907278000,0.26,3.190510452328266
1999-03-31,01,1999-01,1999,1,4,34.9,47.31,34.0,44.81,27.68,4641032000,0.29225023342670386,3.586259324781824
1999-06-30,13,1999-13,1999,4,1,45.62,47.81,37.75,45.09,27.85,3175289000,0.006141618497109924,0.0753649923432378
1999-09-30,26,1999-26,1999,7,1,44.94,50.38,40.81,45.28,27.97,3469969000,0.0043087971274684556,0.05287408566211583
1999-12-31,39,1999-39,1999,10,1,45.09,59.97,42.19,58.38,36.06,3788538200,0.28923846978905976,3.5493013887593405
2000-03-31,01,2000-01,2000,1,3,58.69,59.31,44.06,53.12,32.82,4637550400,-0.08985024958402665,-1.1025698478543864
2000-06-30,14,2000-14,2000,4,3,47.22,48.25,30.19,40.0,24.71,5069627600,-0.24710542352224252,-3.0322786022104524
2000-09-30,27,2000-27,2000,7,3,39.84,41.44,29.31,30.16,18.63,3879119400,-0.24605422905706198,-3.019379190946652
2000-12-31,40,2000-40,2000,10,2,30.25,36.19,20.16,21.69,13.4,6509546400,-0.28073000536768644,-3.44489237079913
2001-03-31,00,2001-00,2001,1,2,22.06,32.53,21.44,27.34,16.89,5437776600,0.2604477611940299,3.19600501682711
2001-06-30,13,2001-13,2001,4,2,27.41,38.08,25.53,36.5,22.55,5302290600,0.33510953226761386,4.1121940975948394
2001-09-30,26,2001-26,2001,7,2,36.03,36.58,23.75,25.58,15.8,4119921800,-0.29933481152993346,-3.6731955574306316
2001-12-31,39,2001-39,2001,10,1,25.47,34.94,25.2,33.12,20.46,4058948600,0.2949367088607595,3.619225586136738
2002-03-31,00,2002-00,2002,1,2,33.33,35.31,28.58,30.16,18.63,3564519200,-0.0894428152492669,-1.0975701420709691
2002-06-30,13,2002-13,2002,4,1,29.92,30.2,24.17,27.35,16.89,4671818600,-0.09339774557165859,-1.1461018595010488
2002-09-30,26,2002-26,2002,7,1,27.06,27.47,20.7,21.87,13.51,5843651000,-0.2001184132622854,-2.4556918816025735
2002-12-31,39,2002-39,2002,10,1,22.16,29.48,21.59,25.85,15.97,5299738000,0.18208734270910454,2.234429115961835
2003-03-31,00,2003-00,2003,1,2,26.15,28.66,22.55,24.21,15.0,4437535600,-0.06073888541014405,-0.7453386490916669
2003-06-30,13,2003-13,2003,4,1,24.46,26.51,23.6,25.64,15.89,4130617200,0.05933333333333346,0.728090846813375
2003-09-30,26,2003-26,2003,7,1,25.59,30.0,25.39,27.8,17.23,3511827000,0.0843297671491503,1.0348269366606648
2003-12-31,39,2003-39,2003,10,1,28.03,29.46,24.84,27.37,17.06,4318830500,-0.009866511897852703,-0.12107388206969324
2004-03-31,00,2004-00,2004,1,2,27.58,28.83,24.01,24.93,15.54,3967295600,-0.08909730363423207,-1.093330301997241
