Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,6.22,8.41,5.82,8.09,6.48,500527200,,
1998-06-30,13,1998-13,1998,4,1,7.94,9.24,7.56,7.96,6.37,536464800,-0.016975308641975384,-0.2170321634263581
1998-09-30,26,1998-26,1998,7,1,8.02,8.31,3.7,4.38,3.5,1123852800,-0.4505494505494506,-5.760350167743714
1998-12-31,39,1998-39,1998,10,1,4.31,6.33,4.17,5.38,4.31,581461600,0.23142857142857132,2.9588530373825006
1999-03-31,01,1999-01,1999,1,4,5.47,6.84,4.93,6.58,5.27,479582400,0.22273781902552203,2.8477403126823084
1999-06-30,13,1999-13,1999,4,1,6.55,8.75,5.59,7.83,6.27,579753600,0.1897533206831119,2.426027978269439
1999-09-30,26,1999-26,1999,7,1,7.89,8.34,6.01,6.09,4.87,460524000,-0.2232854864433811,-2.8547423323240704
1999-12-31,39,1999-39,1999,10,1,6.09,7.31,4.92,6.64,5.32,597392000,0.0924024640657084,1.181380975455026
2000-03-31,01,2000-01,2000,1,3,6.64,8.09,5.8,7.45,5.97,561729600,0.1221804511278195,1.5620975262334518
2000-06-30,14,2000-14,2000,4,3,7.42,11.12,7.22,10.72,8.58,587459200,0.4371859296482412,5.589495315360581
2000-09-30,27,2000-27,2000,7,3,10.68,12.64,9.77,12.34,9.89,466468800,0.15268065268065278,1.9520477102073128
2000-12-31,40,2000-40,2000,10,2,12.38,15.86,12.16,15.34,12.29,652762000,0.24266936299292197,3.102568439752462
2001-03-31,00,2001-00,2001,1,2,15.38,16.09,12.62,14.81,11.87,537050800,-0.03417412530512609,-0.4369219143288506
2001-06-30,13,2001-13,2001,4,2,14.81,16.85,13.12,15.44,12.37,625226000,0.04212299915754003,0.5385495975349601
2001-09-30,26,2001-26,2001,7,2,15.49,17.5,14.7,16.62,13.32,417363200,0.07679870654810039,0.9818843228137408
2001-12-31,39,2001-39,2001,10,1,16.63,18.2,15.6,17.69,14.18,458581600,0.0645645645645645,0.8254687690024582
2002-03-31,00,2002-00,2002,1,2,17.5,19.2,16.96,19.1,15.31,401747600,0.07968970380818052,1.018846206868289
2002-06-30,13,2002-13,2002,4,1,19.0,24.47,18.78,22.89,18.35,577073600,0.1985630306988897,2.5386615959672802
2002-09-30,26,2002-26,2002,7,1,23.2,24.08,20.37,21.81,17.48,625984000,-0.04741144414168941,-0.6061632521835184
2002-12-31,39,2002-39,2002,10,1,21.89,25.25,18.76,20.88,16.73,788878800,-0.04290617848970246,-0.5485626764364959
2003-03-31,00,2003-00,2003,1,2,20.88,23.17,19.6,22.92,18.38,541098400,0.0986252241482366,1.2609400050831974
2003-06-30,13,2003-13,2003,4,1,22.92,26.33,22.05,25.12,20.15,542766000,0.09630032644178455,1.2312157986125958
2003-09-30,26,2003-26,2003,7,1,25.12,28.12,23.62,25.16,20.17,375535800,0.0009925558312655625,0.012689992501717757
2003-12-31,39,2003-39,2003,10,1,25.16,29.33,23.79,29.09,23.33,375375400,0.15666831928606828,2.0030306954742985
2004-03-31,00,2004-00,2004,1,2,29.52,32.25,27.73,32.22,25.85,346821400,0.1080154307758252,1.3809953691645733
2004-06-30,13,2004-13,2004,4,1,32.17,34.25,29.31,31.12,24.97,415905400,-0.03404255319148941,-0.43523974282484995
2004-09-30,26,2004-26,2004,7,1,30.65,37.38,29.67,36.87,29.58,393022200,0.184621545855026,2.360417377799862
2004-12-31,39,2004-39,2004,10,1,37.05,44.38,32.31,44.01,35.31,482577200,0.19371196754563913,2.4766399412643736
2005-03-31,01,2005-01,2005,1,3,43.6,48.33,42.62,47.69,38.27,324647400,0.08382894364202786,1.071767081241028
2005-06-30,13,2005-13,2005,4,1,47.88,53.64,44.3,52.14,41.84,398565600,0.0932845570943297,1.1926586825284395
2005-09-30,26,2005-26,2005,7,1,53.0,56.66,47.75,56.2,45.1,359758800,0.07791586998087952,0.9961674443657891
2005-12-31,40,2005-40,2005,10,3,56.21,64.61,53.84,62.14,49.87,352427500,0.10576496674057645,1.3522228096438875
2006-03-31,01,2006-01,2006,1,3,62.6,62.93,53.2,55.86,44.85,420168200,-0.1006617204732303,-1.2869769516003464
2006-06-30,14,2006-14,2006,4,3,56.6,56.6,41.44,44.78,35.96,786404200,-0.19821627647714601,-2.5342282851798603
