Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2008-03-31,11,2008-11,2008,3,19,14.88,17.25,13.75,15.59,13.91,1273903200,,
2008-06-30,13,2008-13,2008,4,1,15.77,22.46,15.08,20.33,18.14,3960864800,0.30409777138749106,4.879895492399858
2008-09-30,26,2008-26,2008,7,1,19.91,20.6,13.97,15.35,13.72,2986041200,-0.24366041896361634,-3.9100496355223306
2008-12-31,39,2008-39,2008,10,1,15.19,15.53,10.89,13.11,11.74,2541642800,-0.1443148688046647,-2.3158389966258364
2009-03-31,00,2009-00,2009,1,2,13.23,14.49,10.44,13.9,12.47,2315784800,0.06218057921635434,0.9978196382309348
2009-06-30,13,2009-13,2009,4,1,13.69,17.81,13.41,15.56,13.99,2458600800,0.12189254210104239,1.956025077204839
2009-09-30,26,2009-26,2009,7,1,15.57,18.75,14.5,17.28,15.55,1387112400,0.11150822015725526,1.789386546399742
2009-12-31,39,2009-39,2009,10,1,17.19,22.42,16.64,21.86,19.71,1817912000,0.26752411575562696,4.292993403495369
2010-03-31,01,2010-01,2010,1,4,22.0,23.41,20.14,22.76,20.54,1217713200,0.0421106037544392,0.6757541974277599
2010-06-30,13,2010-13,2010,4,1,22.92,24.3,17.07,17.69,15.99,2438331200,-0.2215189873417721,-3.5547432750918246
2010-09-30,26,2010-26,2010,7,1,17.75,19.45,16.23,18.57,16.81,1609136400,0.0512820512820511,0.8229295787025735
2010-12-31,39,2010-39,2010,10,1,18.68,20.44,16.62,17.59,15.97,1607651600,-0.049970255800118824,-0.8018790302884093
2011-03-31,01,2011-01,2011,1,3,17.6,19.27,16.88,18.41,16.73,1543702400,0.04758922980588598,0.7636704042812879
2011-06-30,13,2011-13,2011,4,1,18.5,21.84,18.28,21.07,19.19,1506487600,0.147041243275553,2.3595894734227505
2011-09-30,26,2011-26,2011,7,1,21.02,23.69,19.03,21.43,19.56,1578596400,0.019280875455966573,0.30940265296191066
2011-12-31,40,2011-40,2011,10,3,21.24,25.86,20.43,25.38,23.22,1069197600,0.18711656441717794,3.0026832327199844
2012-03-31,01,2012-01,2012,1,3,25.85,30.17,24.58,29.5,27.03,916509200,0.1640826873385013,2.633055686895259
2012-06-30,14,2012-14,2012,4,2,29.5,31.34,27.99,30.91,28.38,947253200,0.049944506104328434,0.8014658216553935
2012-09-30,27,2012-27,2012,7,2,31.07,34.16,29.77,33.57,30.87,765882800,0.08773784355179703,1.4079402992918815
2012-12-31,40,2012-40,2012,10,1,33.72,38.13,33.72,37.9,34.93,693814400,0.13151927437641708,2.1105064705501424
2013-03-31,00,2013-00,2013,1,2,38.54,42.74,38.48,42.46,39.22,741663200,0.12281706269682213,1.9708609764203833
2013-06-30,13,2013-13,2013,4,1,42.44,46.31,40.32,45.69,42.28,767386000,0.07802141764405923,1.2520195808562666
2013-09-30,26,2013-26,2013,7,1,45.97,50.22,42.75,47.78,44.3,992777600,0.04777672658467358,0.7666791888622154
2013-12-31,39,2013-39,2013,10,1,47.82,55.68,45.03,55.67,51.72,757687600,0.16749435665914225,2.6878031770310566
2014-03-31,00,2014-00,2014,1,2,55.38,58.88,52.63,53.97,50.23,799588400,-0.028808971384377435,-0.4623012163419059
2014-06-30,13,2014-13,2014,4,1,54.27,54.54,48.71,52.68,49.12,809455600,-0.02209834760103524,-0.3546149856861889
2014-09-30,26,2014-26,2014,7,1,52.99,56.19,52.05,53.34,49.84,605762800,0.014657980456026287,0.23521847078551208
2014-12-31,39,2014-39,2014,10,1,53.21,67.33,48.8,65.55,61.36,732172400,0.23113964686998378,3.7091272182934723
2015-03-31,00,2015-00,2015,1,2,65.85,69.66,61.29,65.41,61.34,690218900,-0.00032594524119944346,-0.00523048461039717
2015-06-30,13,2015-13,2015,4,1,65.45,70.69,64.35,67.15,63.08,436419400,0.028366481904140706,0.455200531551651
2015-09-30,26,2015-26,2015,7,1,67.94,76.92,60.0,69.66,65.55,557625600,0.03915662650602414,0.6283513500033234
2015-12-31,39,2015-39,2015,10,1,70.09,81.01,68.36,77.55,73.1,557699700,0.11517925247902361,1.8482960674978912
2016-03-31,01,2016-01,2016,1,4,76.06,77.0,66.12,76.48,72.23,669993800,-0.011901504787961592,-0.19098495626113662
2016-06-30,13,2016-13,2016,4,1,76.25,81.73,73.25,74.17,70.18,553962500,-0.028381558909040483,-0.4554424741608113
2016-09-30,26,2016-26,2016,7,1,74.5,83.79,73.83,82.7,78.38,511999200,0.11684240524365896,1.8749848907743196
2016-12-31,40,2016-40,2016,10,3,82.42,83.96,75.17,78.02,74.1,658361600,-0.05460576677723916,-0.8762656626501291
2017-03-31,01,2017-01,2017,1,3,78.76,92.05,78.49,88.87,84.57,503862100,0.14129554655870447,2.2673875497410463
2017-06-30,14,2017-14,2017,4,3,89.14,96.6,88.13,93.78,89.4,514828500,0.057112451223838345,0.9164907457739423
2017-09-30,27,2017-27,2017,7,3,94.38,106.84,93.19,105.24,100.49,449932300,0.12404921700223692,1.9906335127776886
2017-12-31,40,2017-40,2017,10,2,105.54,114.92,104.9,114.02,109.06,458568300,0.08528211762364424,1.3685329539743378
2018-03-31,00,2018-00,2018,1,2,114.57,126.88,111.02,119.62,114.62,522593200,0.050981111314872596,0.8181003568946765
2018-06-30,13,2018-13,2018,4,2,119.27,136.69,116.71,132.45,127.12,467321800,0.10905601116733554,1.7500356378359188
2018-09-30,26,2018-26,2018,7,2,131.96,150.64,131.15,150.09,144.26,452201500,0.1348332284455631,2.1636859116564024
2018-12-31,39,2018-39,2018,10,1,150.89,151.56,121.6,131.94,127.04,705535300,-0.1193678081242201,-1.9155103509811315
2019-03-31,00,2019-00,2019,1,2,130.0,156.82,127.88,156.19,150.66,555376300,0.18592569269521397,2.9835731632133142
2019-06-30,13,2019-13,2019,4,1,157.53,174.94,156.32,173.55,167.66,442651700,0.11283685118810571,1.8107072570018863
2019-09-30,26,2019-26,2019,7,1,175.33,187.05,166.98,172.01,166.41,450502600,-0.007455564833591777,-0.1196403941361998
2019-12-31,39,2019-39,2019,10,1,173.02,189.89,168.59,187.9,182.09,456380900,0.09422510666426298,1.5120422329433316
