Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,41.59,47.66,38.11,45.98,13.72,183652420,,
1998-06-30,13,1998-13,1998,4,1,46.03,46.43,40.19,41.03,12.34,187377330,-0.10058309037900881,-1.6852060950722008
1998-09-30,26,1998-26,1998,7,1,41.37,45.36,36.37,43.56,13.21,176643592,0.07050243111831445,1.1812236648356826
1998-12-31,39,1998-39,1998,10,1,43.39,55.03,42.94,48.56,14.84,157301037,0.1233913701741105,2.0673444046427627
1999-03-31,01,1999-01,1999,1,4,49.46,54.35,45.53,46.48,14.3,220838848,-0.03638814016172498,-0.6096602854198837
1999-06-30,13,1999-13,1999,4,1,46.26,58.79,45.81,58.79,18.22,209012838,0.2741258741258741,4.592805730597499
1999-09-30,26,1999-26,1999,7,1,56.66,61.32,54.18,60.54,18.88,185752222,0.03622392974753019,0.6069090437366879
1999-12-31,39,1999-39,1999,10,1,60.54,62.5,53.23,55.36,17.37,208255711,-0.0799788135593219,-1.3399944620804822
2000-03-31,01,2000-01,2000,1,3,54.52,56.83,42.61,54.97,17.36,262472066,-0.0005757052389178119,-0.009645577342409497
2000-06-30,14,2000-14,2000,4,3,55.53,59.36,44.52,45.7,14.52,259324472,-0.16359447004608296,-2.740921928357262
2000-09-30,27,2000-27,2000,7,3,45.53,51.15,35.13,43.56,13.95,473992007,-0.039256198347107474,-0.6577127872550925
2000-12-31,40,2000-40,2000,10,2,42.72,53.4,40.64,45.08,14.55,355851665,0.04301075268817223,0.7206179717746821
2001-03-31,00,2001-00,2001,1,2,44.63,51.37,39.39,44.34,14.42,331190217,-0.008934707903780148,-0.14969538279649394
2001-06-30,13,2001-13,2001,4,2,44.74,51.25,42.27,48.11,15.77,374927240,0.09361997226074892,1.5685434527793154
2001-09-30,26,2001-26,2001,7,2,48.11,51.62,43.46,48.66,16.06,352814154,0.018389346861128697,0.3081018817178672
2001-12-31,39,2001-39,2001,10,1,48.74,50.35,42.18,42.68,14.19,376241455,-0.11643835616438347,-1.9508510503009704
2002-03-31,00,2002-00,2002,1,2,42.94,45.95,38.69,41.46,13.89,365424199,-0.0211416490486257,-0.3542149649843808
2002-06-30,13,2002-13,2002,4,1,40.94,41.38,32.83,36.11,12.2,470891903,-0.12167026637868983,-2.038508398556991
2002-09-30,26,2002-26,2002,7,1,35.66,36.15,23.39,24.68,8.42,590753428,-0.3098360655737704,-5.191107413886693
2002-12-31,39,2002-39,2002,10,1,24.75,38.85,24.73,34.85,12.03,580189143,0.42874109263657956,7.1832859757693885
2003-03-31,00,2003-00,2003,1,2,35.21,39.85,28.83,31.79,11.08,536212054,-0.07896924355777213,-1.3230797549104905
2003-06-30,13,2003-13,2003,4,1,31.78,37.19,29.5,35.48,12.5,470200932,0.128158844765343,2.1472204276300575
2003-09-30,26,2003-26,2003,7,1,35.07,36.2,28.82,29.17,10.38,528748985,-0.16959999999999997,-2.841540786301914
2003-12-31,39,2003-39,2003,10,1,29.28,31.7,27.97,31.55,11.35,551832917,0.09344894026974937,1.5656779198890582
2004-03-31,00,2004-00,2004,1,2,31.57,35.56,31.55,32.86,11.95,485357230,0.052863436123347984,0.8856934542957503
2004-06-30,13,2004-13,2004,4,1,33.5,34.35,30.8,32.55,11.96,451473844,0.0008368200836821327,0.014020391501057553
2004-09-30,26,2004-26,2004,7,1,32.83,36.88,30.69,35.42,13.15,475172458,0.0994983277591972,1.6670315831167148
2004-12-31,39,2004-39,2004,10,1,35.75,38.01,34.41,36.43,13.65,453327124,0.03802281368821303,0.637048206987123
2005-03-31,01,2005-01,2005,1,3,36.69,36.93,30.92,31.93,12.08,584739343,-0.11501831501831505,-1.9270591585864636
