Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,15.81,18.62,14.78,17.62,10.44,94167600,,
1998-06-30,13,1998-13,1998,4,1,17.5,21.06,16.25,20.66,12.26,94994200,0.17432950191570895,2.217768921742058
1998-09-30,26,1998-26,1998,7,1,21.06,24.97,19.19,22.03,13.09,108002200,0.06769983686786296,0.8612575184500326
1998-12-31,39,1998-39,1998,10,1,21.66,30.22,19.38,29.28,17.42,125942600,0.330786860198625,4.20817366084059
1999-03-31,01,1999-01,1999,1,4,29.0,33.94,25.94,28.25,16.82,151070800,-0.03444316877152709,-0.4381759164593017
1999-06-30,13,1999-13,1999,4,1,28.25,30.12,22.69,29.38,17.52,175099600,0.041617122473246004,0.5294408566492956
1999-09-30,26,1999-26,1999,7,1,29.12,29.94,23.06,25.38,15.15,114847200,-0.13527397260273966,-1.7209159038611863
1999-12-31,39,1999-39,1999,10,1,25.0,32.88,23.5,29.25,17.49,132978500,0.15445544554455437,1.9649369909182792
2000-03-31,01,2000-01,2000,1,3,28.5,30.94,22.06,25.75,15.41,151976000,-0.11892510005717549,-1.5129303303430246
2000-06-30,14,2000-14,2000,4,3,26.0,32.3,25.0,32.19,19.29,121853400,0.25178455548345213,3.203129453073492
2000-09-30,27,2000-27,2000,7,3,31.69,39.56,29.0,37.94,22.76,121459700,0.17988595127008833,2.288456444840327
2000-12-31,40,2000-40,2000,10,2,37.44,45.75,36.75,41.81,25.1,154017400,0.10281195079086114,1.30794355942056
2001-03-31,00,2001-00,2001,1,2,40.5,45.29,35.38,40.8,24.52,173818400,-0.023107569721115606,-0.2939677416692032
2001-06-30,13,2001-13,2001,4,2,40.7,44.3,34.11,34.46,20.73,176331700,-0.1545676998368678,-1.9663650571841098
2001-09-30,26,2001-26,2001,7,2,34.05,37.49,28.7,34.43,20.73,182603000,0.0,0.0
2001-12-31,39,2001-39,2001,10,1,34.43,36.0,30.72,33.66,20.29,171539500,-0.021225277375783946,-0.27002176913308046
2002-03-31,00,2002-00,2002,1,2,33.6,40.7,32.53,39.19,23.64,162566400,0.1651059635288321,2.1004297648115178
2002-06-30,13,2002-13,2002,4,1,39.04,40.0,36.1,38.63,23.33,138630800,-0.013113367174281021,-0.1668244207602608
2002-09-30,26,2002-26,2002,7,1,38.64,39.45,29.01,30.76,18.59,204827600,-0.20317188169738531,-2.5846932392325757
2002-12-31,39,2002-39,2002,10,1,30.61,36.2,27.7,29.19,17.66,243778500,-0.0500268961807423,-0.6364275374027735
2003-03-31,00,2003-00,2003,1,2,29.6,32.99,26.9,29.48,17.86,194548900,0.011325028312570762,0.14407369695585123
2003-06-30,13,2003-13,2003,4,1,29.48,33.66,28.8,30.1,18.26,231932500,0.022396416573348343,0.2849206593774184
2003-09-30,26,2003-26,2003,7,1,30.53,32.89,28.9,30.64,18.62,227534100,0.019715224534501585,0.25081131866553086
2003-12-31,39,2003-39,2003,10,1,30.75,37.42,30.72,36.38,22.13,177660500,0.18850698174006442,2.398130672321048
2004-03-31,00,2004-00,2004,1,2,36.43,36.76,32.0,32.95,20.07,197329700,-0.09308630817894259,-1.1842167794340472
2004-06-30,13,2004-13,2004,4,1,32.94,36.66,32.4,36.21,22.08,179234900,0.1001494768310911,1.2740723446345474
2004-09-30,26,2004-26,2004,7,1,36.03,38.07,34.89,35.83,21.88,158878700,-0.009057971014492683,-0.11523285725726076
2004-12-31,39,2004-39,2004,10,1,35.87,39.51,35.05,38.37,23.46,159796200,0.07221206581352835,0.9186607750045094
2005-03-31,01,2005-01,2005,1,3,39.75,46.75,39.66,44.42,27.2,218702400,0.15942028985507228,2.028098287727803
2005-06-30,13,2005-13,2005,4,1,44.51,47.39,41.51,45.99,28.19,172446900,0.036397058823529393,0.46303273407314943
2005-09-30,26,2005-26,2005,7,1,46.24,49.01,40.98,43.45,26.67,194037900,-0.053919829726853497,-0.6859522990644401
2005-12-31,40,2005-40,2005,10,3,43.45,48.25,42.62,44.26,27.21,208204400,0.020247469066366763,0.25758237788709903
2006-03-31,01,2006-01,2006,1,3,44.63,46.39,42.13,43.13,26.55,204982300,-0.02425578831312014,-0.3085750426752334
2006-06-30,14,2006-14,2006,4,3,43.26,45.37,39.55,44.84,27.65,252909200,0.04143126177024481,0.5270763911608984
2006-09-30,27,2006-27,2006,7,3,44.75,51.6,42.95,44.39,27.41,305419700,-0.008679927667269438,-0.110423500393794
