Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,6.57,8.71,6.26,8.47,5.44,1075735200,,
1998-06-30,13,1998-13,1998,4,1,8.47,10.48,8.03,10.12,6.51,1052923800,0.1966911764705881,3.287835222860734
1998-09-30,26,1998-26,1998,7,1,10.26,11.64,8.98,9.1,5.86,1500835200,-0.09984639016897079,-1.6690046008348853
1998-12-31,39,1998-39,1998,10,1,9.0,13.79,8.74,13.57,8.75,1334030400,0.493174061433447,8.24376100279534
1999-03-31,01,1999-01,1999,1,4,13.6,16.4,12.9,15.36,9.92,1320500400,0.13371428571428567,2.2351309614380783
1999-06-30,13,1999-13,1999,4,1,15.57,17.8,13.67,16.08,10.39,1485848400,0.0473790322580645,0.7919747793384768
1999-09-30,26,1999-26,1999,7,1,15.98,17.0,12.96,15.85,10.26,1019204700,-0.012512030798845108,-0.20914764102858832
1999-12-31,39,1999-39,1999,10,1,16.0,23.42,15.85,23.04,14.92,1227245100,0.4541910331384016,7.59213150002813
2000-03-31,01,2000-01,2000,1,3,22.79,23.0,14.48,18.83,12.21,1792721700,-0.18163538873994634,-3.0361668455752864
2000-06-30,14,2000-14,2000,4,3,18.88,21.65,16.5,19.21,12.47,1231260000,0.02129402129402136,0.35594496155397676
2000-09-30,27,2000-27,2000,7,3,19.08,20.98,15.62,16.04,10.42,1352164800,-0.16439454691259026,-2.7479737092643233
2000-12-31,40,2000-40,2000,10,2,16.06,18.65,13.81,17.71,11.52,1759504500,0.10556621880998085,1.7646156720181045
2001-03-31,00,2001-00,2001,1,2,17.71,19.58,15.07,16.83,10.97,1458970800,-0.04774305555555547,-0.798059691945686
2001-06-30,13,2001-13,2001,4,2,16.67,18.25,15.8,16.27,10.61,1256052600,-0.03281677301732011,-0.5485560875838519
2001-09-30,26,2001-26,2001,7,2,16.32,18.92,14.0,16.5,10.78,1439430300,0.01602262016965117,0.26782968052547756
2001-12-31,39,2001-39,2001,10,1,16.5,19.58,16.05,19.18,12.55,1444809600,0.16419294990723565,2.7446038695647412
2002-03-31,00,2002-00,2002,1,2,19.22,21.31,18.44,20.43,13.38,1361591400,0.06613545816733057,1.105501999349203
2002-06-30,13,2002-13,2002,4,1,20.12,20.62,17.33,18.34,12.03,1638496200,-0.10089686098654715,-1.6865639800433947
2002-09-30,26,2002-26,2002,7,1,18.43,19.0,14.57,16.41,10.78,1986924300,-0.10390689941812137,-1.7368789486915892
2002-12-31,39,2002-39,2002,10,1,16.41,19.34,16.18,16.84,11.07,1880105400,0.026901669758812696,0.44968085998518487
2003-03-31,00,2003-00,2003,1,2,16.88,18.29,15.42,17.34,11.43,1506139500,0.03252032520325199,0.543600748039279
2003-06-30,13,2003-13,2003,4,1,17.37,19.17,17.17,17.89,11.81,1581114300,0.03324584426946631,0.5557283237829382
2003-09-30,26,2003-26,2003,7,1,17.83,20.07,17.67,18.62,12.29,1409277900,0.040643522438611246,0.6793858629178451
2003-12-31,39,2003-39,2003,10,1,18.67,19.98,16.83,17.68,11.71,1813772700,-0.04719283970707877,-0.7888624362311248
2004-03-31,00,2004-00,2004,1,2,17.78,20.44,17.19,19.9,13.2,1948260900,0.12724167378309126,2.126936573295447
2004-06-30,13,2004-13,2004,4,1,19.58,20.05,17.31,17.5,11.64,1839307800,-0.11818181818181805,-1.9754945366245626
2004-09-30,26,2004-26,2004,7,1,17.7,18.32,17.03,17.73,11.82,1808716800,0.015463917525773141,0.2584905618898113
