Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,48.94,49.81,48.12,48.88,30.74,2761300,,
1998-01-11,01,1998-01,1998,1,5,48.88,49.75,45.0,45.12,28.38,22538900,-0.07677293428757315,-10.233602925645927
1998-01-18,02,1998-02,1998,1,12,45.12,46.25,43.0,43.44,27.32,28240400,-0.03735024665257214,-4.978676365105777
1998-01-25,03,1998-03,1998,1,20,43.44,45.69,42.81,44.31,27.87,24771600,0.020131771595900405,2.6835050478927642
1998-02-01,04,1998-04,1998,1,26,44.31,48.19,44.0,47.62,29.95,19741000,0.07463222102619294,9.94825223926249
1998-02-08,05,1998-05,1998,2,2,48.06,48.88,46.06,46.44,29.21,17583100,-0.024707846410684464,-3.293482158278252
1998-02-15,06,1998-06,1998,2,9,46.44,50.75,46.38,50.38,31.78,20805900,0.08798356727148238,11.727946831699372
1998-02-22,07,1998-07,1998,2,17,50.94,52.75,49.94,50.12,31.62,20365400,-0.005034612964128438,-0.6710988766719491
1998-03-01,08,1998-08,1998,2,23,50.25,54.75,49.06,54.25,34.22,22623100,0.08222643896268167,10.96053881673962
1998-03-08,09,1998-09,1998,3,2,54.25,54.25,51.5,52.44,33.08,17231800,-0.03331385154880184,-4.440636948919326
1998-03-15,10,1998-10,1998,3,9,52.44,53.06,50.19,51.81,32.68,11446900,-0.012091898428053138,-1.6118139586331766
1998-03-22,11,1998-11,1998,3,16,51.81,53.44,50.56,53.44,33.71,18544800,0.03151774785801709,4.201221689422679
1998-03-29,12,1998-12,1998,3,23,52.5,52.94,51.12,51.25,32.33,18830000,-0.04093740729753792,-5.456834169177436
1998-04-05,13,1998-13,1998,3,30,51.06,55.88,50.25,54.94,34.65,23471600,0.07175997525518096,9.565390453423989
1998-04-12,14,1998-14,1998,4,6,55.25,56.25,54.5,55.19,34.81,17465900,0.0046176046176047425,0.6155129091092318
1998-04-19,15,1998-15,1998,4,13,54.88,54.88,52.06,53.69,33.87,18127600,-0.02700373455903493,-3.5995171938014177
1998-04-26,16,1998-16,1998,4,20,53.56,53.56,50.38,50.69,31.97,18499600,-0.05609684086211986,-7.477541403012469
1998-05-03,17,1998-17,1998,4,27,50.25,52.38,48.38,51.75,32.64,17242500,0.02095714732561782,2.7935251684049542
1998-05-10,18,1998-18,1998,5,4,51.75,52.31,49.5,50.5,31.85,10038600,-0.02420343137254899,-3.2262451396869416
1998-05-17,19,1998-19,1998,5,11,50.5,50.62,49.0,49.62,31.39,11530000,-0.0144427001569859,-1.9251688104968212
1998-05-24,20,1998-20,1998,5,18,49.38,49.38,47.62,48.38,30.6,14126700,-0.025167250716788714,-3.354719380674788
1998-05-31,21,1998-21,1998,5,26,48.38,48.69,45.25,47.75,30.21,16316700,-0.012745098039215752,-1.6988835165946536
1998-06-07,22,1998-22,1998,6,1,47.75,47.75,45.0,45.5,28.78,18802900,-0.047335319430652056,-6.309656754780501
1998-06-14,23,1998-23,1998,6,8,45.5,46.38,44.25,44.94,28.43,18348800,-0.01216122307157752,-1.6210547266378628
1998-06-21,24,1998-24,1998,6,15,44.38,44.56,42.56,42.94,27.16,21443100,-0.04467112205416812,-5.954527198778923
1998-06-28,25,1998-25,1998,6,22,42.94,46.12,42.12,45.69,28.9,17096600,0.06406480117820323,8.539646723836453
1998-07-05,26,1998-26,1998,6,29,45.69,49.25,44.12,48.44,30.64,16106200,0.06020761245674744,8.025494983370182
1998-07-12,27,1998-27,1998,7,6,48.56,49.44,47.12,47.88,30.28,12151100,-0.011749347258485643,-1.5661529104578071
1998-07-19,28,1998-28,1998,7,13,47.88,50.12,47.19,50.0,31.63,15299500,0.04458388375165123,5.942898593513933
1998-07-26,29,1998-29,1998,7,20,50.0,50.0,40.0,40.31,25.5,49921500,-0.19380335124881443,-25.83340809810471
1998-08-02,30,1998-30,1998,7,27,40.25,40.25,37.94,38.81,24.55,41669100,-0.03725490196078429,-4.965967202353575
1998-08-09,31,1998-31,1998,8,3,38.69,39.44,36.06,39.25,24.83,37568700,0.01140529531568224,1.5202918136908312
1998-08-16,32,1998-32,1998,8,10,39.25,39.38,36.31,36.81,23.37,26510800,-0.05879983890455087,-7.8378429719407094
1998-08-23,33,1998-33,1998,8,17,36.81,37.94,35.81,36.38,23.1,18574500,-0.011553273427471145,-1.5400168541857289
1998-08-30,34,1998-34,1998,8,24,36.38,36.81,33.5,33.94,21.55,20712700,-0.0670995670995671,-8.944171960493284
1998-09-06,35,1998-35,1998,8,31,33.94,35.0,29.0,33.94,21.55,40728300,0.0,0.0
1998-09-13,36,1998-36,1998,9,8,35.5,37.75,33.56,34.0,21.59,17751900,0.001856148491879317,0.24741905221153046
1998-09-20,37,1998-37,1998,9,14,34.06,34.94,33.56,34.44,21.86,19904700,0.012505789717461857,1.6669844317888187
1998-09-27,38,1998-38,1998,9,21,34.44,34.94,33.69,34.69,22.02,19947900,0.007319304666056681,0.9756414593153788
1998-10-04,39,1998-39,1998,9,28,34.75,36.25,31.75,32.56,20.67,18462700,-0.0613079019073568,-8.172160282089079
1998-10-11,40,1998-40,1998,10,5,32.56,33.5,29.5,32.0,20.32,18849200,-0.0169327527818095,-2.257085391032311
1998-10-18,41,1998-41,1998,10,12,32.75,34.88,31.75,32.25,20.48,17990700,0.007874015748031482,1.0495827903855448
1998-10-25,42,1998-42,1998,10,19,32.56,37.5,32.56,35.69,22.66,22082600,0.1064453125,14.188842350885862
1998-11-01,43,1998-43,1998,10,26,35.69,37.88,35.06,37.56,23.85,15152000,0.05251544571932931,7.000152123167165
1998-11-08,44,1998-44,1998,11,2,37.81,42.44,37.81,41.88,26.59,28132700,0.11488469601677131,15.313786976870524
1998-11-15,45,1998-45,1998,11,9,41.88,42.75,41.0,42.12,26.83,16420100,0.009025949605114603,1.2031321342967694
1998-11-22,46,1998-46,1998,11,16,42.12,43.56,42.06,43.56,27.75,16295300,0.034289973909802596,4.570751145309272
1998-11-29,47,1998-47,1998,11,23,43.56,44.0,41.06,41.44,26.4,10722700,-0.04864864864864871,-6.484719618436116
1998-12-06,48,1998-48,1998,11,30,41.25,41.25,31.5,32.94,20.98,71172600,-0.2053030303030302,-27.366280982347988
1998-12-13,49,1998-49,1998,12,7,33.25,34.94,33.0,33.12,21.1,29369500,0.0057197330791229906,0.7624233424916957
1998-12-20,50,1998-50,1998,12,14,33.12,34.44,31.5,31.75,20.23,27230100,-0.041232227488151696,-5.496132820364889
1998-12-27,51,1998-51,1998,12,21,31.75,32.94,31.56,32.25,20.54,18979000,0.015323776569451164,2.04261366571817
1999-01-03,52,1998-52,1998,12,28,32.25,33.12,31.0,32.62,20.78,20876600,0.011684518013632017,1.5575113656743758
1999-01-10,01,1999-01,1999,1,4,32.81,36.75,32.81,35.81,22.81,31864700,0.0976900866217516,13.021796881101904
1999-01-17,02,1999-02,1999,1,11,35.81,35.88,32.81,33.69,21.46,17302600,-0.05918456817185436,-7.889126234616471
1999-01-24,03,1999-03,1999,1,19,33.69,34.75,32.56,34.5,21.98,17114800,0.024231127679403608,3.229936974699986
1999-01-31,04,1999-04,1999,1,25,34.81,36.44,34.25,34.69,22.1,23430700,0.005459508644221955,0.7277362022509346
1999-02-07,05,1999-05,1999,2,1,34.69,37.69,33.75,37.25,23.73,22182200,0.07375565610859725,9.831408752837644
1999-02-14,06,1999-06,1999,2,8,37.25,37.38,35.0,35.56,22.74,13167100,-0.04171934260429844,-5.561063811006112
1999-02-21,07,1999-07,1999,2,16,35.56,36.69,35.25,35.69,22.82,10533300,0.0035180299032542273,0.46894288259970557
1999-02-28,08,1999-08,1999,2,22,35.69,37.5,34.44,35.62,22.78,19512900,-0.0017528483786152238,-0.23364945552841798
1999-03-07,09,1999-09,1999,3,1,35.5,36.0,33.5,35.56,22.74,16108600,-0.0017559262510975504,-0.2340597267409513
1999-03-14,10,1999-10,1999,3,8,35.56,35.62,33.75,35.12,22.46,14492500,-0.012313104661389462,-1.6413000890989249
1999-03-21,11,1999-11,1999,3,15,35.12,36.56,34.0,34.0,21.74,20732700,-0.03205699020480868,-4.273101084276704
1999-03-28,12,1999-12,1999,3,22,34.19,35.12,34.0,34.81,22.26,16498300,0.023919043238270543,3.1883370504628203
1999-04-04,13,1999-13,1999,3,29,34.81,35.25,33.5,33.94,21.7,10989300,-0.02515723270440262,-3.3533840095337104
1999-04-11,14,1999-14,1999,4,5,33.94,35.44,33.88,35.06,22.42,14719000,0.03317972350230436,4.422758080776728
1999-04-18,15,1999-15,1999,4,12,35.06,43.0,34.44,39.62,25.34,47495400,0.13024085637823357,17.360717305378042
1999-04-25,16,1999-16,1999,4,19,39.62,41.25,39.19,40.5,25.9,22010000,0.022099447513812098,2.9457903730157806
1999-05-02,17,1999-17,1999,4,26,40.38,41.88,38.81,40.62,25.98,16650600,0.003088803088803216,0.411728229741992
1999-05-09,18,1999-18,1999,5,3,40.62,45.88,40.5,45.75,29.25,23877500,0.12586605080831403,16.777568784419305
1999-05-16,19,1999-19,1999,5,10,45.75,45.81,41.0,43.0,27.58,12533000,-0.05709401709401718,-7.610462017534049
1999-05-23,20,1999-20,1999,5,17,43.0,45.25,41.88,44.94,28.83,14355100,0.045322697606961615,6.04138027460862
1999-05-30,21,1999-21,1999,5,24,44.94,45.81,40.0,42.06,26.98,16608800,-0.06416926812348245,-8.553571855743463
1999-06-06,22,1999-22,1999,6,1,42.06,43.94,41.25,43.94,28.19,7971000,0.044848035581912526,5.978109243830502
1999-06-13,23,1999-23,1999,6,7,43.88,43.88,41.31,42.62,27.34,12157200,-0.030152536360411597,-4.019243072796033
1999-06-20,24,1999-24,1999,6,14,42.25,44.75,40.81,44.62,28.63,13414900,0.04718361375274327,6.289434840850924
1999-06-27,25,1999-25,1999,6,21,44.06,44.62,41.81,43.56,27.94,13405600,-0.024100593782745316,-3.2125371960001834
1999-07-04,26,1999-26,1999,6,28,43.56,44.38,42.5,44.06,28.27,12089200,0.011811023622047223,1.574374185578317
1999-07-11,27,1999-27,1999,7,6,43.38,44.94,42.25,44.56,28.59,10112700,0.011319419879731063,1.5088448744700473
1999-07-18,28,1999-28,1999,7,12,44.56,48.5,43.81,46.0,29.51,25102800,0.032179083595662794,4.2893757687529614
1999-07-25,29,1999-29,1999,7,19,46.0,46.81,44.31,46.62,29.91,13825000,0.013554727211114725,1.8068046679629
1999-08-01,30,1999-30,1999,7,26,46.25,46.56,44.44,45.38,29.11,11342500,-0.02674690738883323,-3.565282898802133
1999-08-08,31,1999-31,1999,8,2,45.38,47.12,45.0,46.56,29.87,13293000,0.026107866712469896,3.480100684576186
