Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,9.44,9.73,9.27,9.68,6.51,42853800,,
1998-01-11,01,1998-01,1998,1,5,9.69,9.85,8.92,9.04,6.08,359101800,-0.0660522273425499,-9.829138457502957
1998-01-18,02,1998-02,1998,1,12,8.67,9.79,8.58,9.65,6.49,291637200,0.06743421052631571,10.034789418956978
1998-01-25,03,1998-03,1998,1,20,9.72,9.92,9.42,9.61,6.46,199390800,-0.0046224961479198745,-0.68786710887961
1998-02-01,04,1998-04,1998,1,26,9.66,10.79,9.3,10.51,7.07,389172000,0.09442724458204332,14.051584609615523
1998-02-08,05,1998-05,1998,2,2,10.82,11.03,10.35,10.99,7.39,420467400,0.04526166902404527,6.735324902032884
1998-02-15,06,1998-06,1998,2,9,11.06,11.06,10.56,10.81,7.27,222506400,-0.016238159675236785,-2.4163775570385195
1998-02-22,07,1998-07,1998,2,17,10.98,11.04,10.69,10.97,7.38,181090200,0.015130674002751032,2.2515741817017596
1998-03-01,08,1998-08,1998,2,23,11.06,11.42,10.79,10.98,7.38,253119600,0.0,0.0
1998-03-08,09,1998-09,1998,3,2,11.15,11.21,10.19,10.73,7.21,303639600,-0.023035230352303482,-3.4278400236082773
1998-03-15,10,1998-10,1998,3,9,10.61,10.88,10.0,10.76,7.24,314304000,0.004160887656033285,0.6191758025837266
1998-03-22,11,1998-11,1998,3,16,10.8,10.82,10.48,10.6,7.13,233373000,-0.015193370165745845,-2.2609039089740026
1998-03-29,12,1998-12,1998,3,23,10.57,11.67,10.56,11.56,7.77,315765000,0.08976157082748948,13.35729230220827
1998-04-05,13,1998-13,1998,3,30,11.55,11.99,11.15,11.78,7.92,225229800,0.019305019305019266,2.872752597573142
1998-04-12,14,1998-14,1998,4,6,11.88,11.9,11.03,11.17,7.51,213512400,-0.051767676767676796,-7.703474705461936
1998-04-19,15,1998-15,1998,4,13,11.09,11.88,11.01,11.74,7.89,237308400,0.05059920106524629,7.529595490097174
1998-04-26,16,1998-16,1998,4,20,11.85,12.33,11.76,11.99,8.06,174567000,0.021546261089987473,3.206268615238188
1998-05-03,17,1998-17,1998,4,27,11.72,12.46,11.56,12.27,8.25,222089400,0.023573200992555776,3.507894673115986
1998-05-10,18,1998-18,1998,5,4,12.49,12.76,12.25,12.62,8.49,264393600,0.029090909090909056,4.328977005215675
1998-05-17,19,1998-19,1998,5,11,12.75,12.79,12.33,12.73,8.56,174985800,0.008244994110718551,1.2269259032744766
1998-05-24,20,1998-20,1998,5,18,12.73,13.58,12.6,12.81,8.61,259549800,0.005841121495326895,0.8692090219292274
1998-05-31,21,1998-21,1998,5,26,12.94,13.12,12.49,12.6,8.47,171532200,-0.016260162601625883,-2.419651781370533
1998-06-07,22,1998-22,1998,6,1,12.62,12.97,12.16,12.91,8.68,318682200,0.024793388429751984,3.6894690385360795
1998-06-14,23,1998-23,1998,6,8,12.94,13.47,12.71,13.19,8.87,236115600,0.02188940092165903,3.25733076789343
1998-06-21,24,1998-24,1998,6,15,13.02,13.86,13.0,13.85,9.32,264838200,0.0507328072153328,7.549477232179296
1998-06-28,25,1998-25,1998,6,22,13.83,15.0,13.72,14.98,10.07,283663200,0.08047210300429186,11.974939744175622
1998-07-05,26,1998-26,1998,6,29,15.15,15.82,15.0,15.44,10.38,231481200,0.030784508440913738,4.580999127291936
1998-07-12,27,1998-27,1998,7,6,15.52,15.85,15.08,15.49,10.42,214485600,0.0038535645472059787,0.5734434857583114
