Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,47.92,48.12,47.41,47.8,20.6,843129,,
1998-01-11,01,1998-01,1998,1,5,47.8,47.89,43.97,44.24,19.07,7175028,-0.07427184466019421,-11.505553823645782
1998-01-18,02,1998-02,1998,1,12,43.77,44.98,43.38,43.38,18.7,8303134,-0.019402202412165725,-3.005621917319686
1998-01-25,03,1998-03,1998,1,20,43.38,44.18,42.19,42.55,18.34,5320144,-0.019251336898395643,-2.9822511326467698
1998-02-01,04,1998-04,1998,1,26,42.64,43.65,42.28,42.7,18.4,9114857,0.0032715376226826187,0.5067984022218658
1998-02-08,05,1998-05,1998,2,2,43.14,45.19,43.14,44.12,19.02,7484457,0.033695652173913127,5.219839920275796
1998-02-15,06,1998-06,1998,2,9,44.12,44.3,42.19,42.49,18.32,7829507,-0.03680336487907465,-5.701259978728001
1998-02-22,07,1998-07,1998,2,17,42.64,42.79,42.19,42.58,18.35,4934623,0.0016375545851528006,0.25367583779336583
1998-03-01,08,1998-08,1998,2,23,42.7,43.82,41.3,43.41,18.71,6910918,0.01961852861035429,3.039133306838966
1998-03-08,09,1998-09,1998,3,2,43.65,43.74,42.58,43.29,18.66,4306071,-0.0026723677177979965,-0.41398016643280033
1998-03-15,10,1998-10,1998,3,9,43.17,44.83,42.88,43.5,18.75,5343540,0.004823151125401992,0.7471609884846672
1998-03-22,11,1998-11,1998,3,16,43.44,45.96,43.17,45.96,19.81,7384967,0.056533333333333324,8.757656585381408
1998-03-29,12,1998-12,1998,3,23,45.49,45.78,44.77,45.16,19.64,5315718,-0.008581524482584424,-1.3293757853334423
1998-04-05,13,1998-13,1998,3,30,45.25,46.49,44.6,44.71,19.45,6794355,-0.009674134419552005,-1.498633496590588
1998-04-12,14,1998-14,1998,4,6,45.57,45.93,44.51,45.84,19.94,5193464,0.025192802056555275,3.9026516892948404
1998-04-19,15,1998-15,1998,4,13,45.84,47.44,45.43,47.15,20.51,6008349,0.02858575727181556,4.428259058130249
1998-04-26,16,1998-16,1998,4,20,47.26,47.44,46.4,46.46,20.21,5517858,-0.014627011214041974,-2.265890467271859
1998-05-03,17,1998-17,1998,4,27,46.02,46.91,44.12,46.67,20.3,6609288,0.004453240969816807,0.6898576964435106
