Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2019-03-24,11,2019-11,2019,3,20,52.75,53.5,48.16,48.6,36.85,4960200,,
2019-03-31,12,2019-12,2019,3,25,48.6,52.48,48.0,51.63,39.15,5088600,0.06241519674355489,8.609993324787627
2019-04-07,13,2019-13,2019,4,1,52.3,60.52,51.25,57.24,43.4,82453800,0.10855683269476368,14.9750966692021
2019-04-14,14,2019-14,2019,4,8,56.5,58.39,54.83,58.3,44.2,45654200,0.018433179723502446,2.5428030776872514
2019-04-21,15,2019-15,2019,4,15,58.57,59.05,57.29,57.77,43.8,24008400,-0.009049773755656187,-1.2483897462853715
2019-04-28,16,2019-16,2019,4,22,57.48,58.41,54.82,55.25,41.89,25790500,-0.04360730593607298,-6.015499952106309
2019-05-05,17,2019-17,2019,4,29,55.05,57.48,51.72,53.3,40.41,41368100,-0.03533062783480556,-4.873756483826893
2019-05-12,18,2019-18,2019,5,6,52.15,54.03,51.55,53.07,40.24,28148800,-0.004206879485275761,-0.5803266860670527
2019-05-19,19,2019-19,2019,5,13,52.28,53.55,50.66,50.8,38.52,19476800,-0.04274353876739556,-5.896345804647
2019-05-26,20,2019-20,2019,5,20,50.4,51.19,48.21,49.2,37.3,20994000,-0.03167185877466272,-4.36904002327961
2019-06-02,21,2019-21,2019,5,28,49.37,49.43,46.75,46.76,35.97,17313400,-0.03565683646112594,-4.918756007046319
2019-06-09,22,2019-22,2019,6,3,46.85,51.69,46.85,51.3,39.46,30980700,0.0970252988601612,13.384355399116421
2019-06-16,23,2019-23,2019,6,10,51.72,52.95,51.0,51.15,39.35,21781700,-0.0027876330461226173,-0.38454580248602
2019-06-23,24,2019-24,2019,6,17,50.06,50.57,48.31,48.36,37.2,29912300,-0.054637865311308764,-7.537133264898209
2019-06-30,25,2019-25,2019,6,24,48.51,51.22,48.32,49.31,37.93,24456500,0.01962365591397841,2.7070257764545214
2019-07-07,26,2019-26,2019,7,1,50.0,50.2,48.76,49.31,37.93,14376700,0.0,0.0
2019-07-14,27,2019-27,2019,7,8,49.34,50.04,47.18,49.71,38.24,22941200,0.00817295017136832,1.1274345045875318
2019-07-21,28,2019-28,2019,7,15,49.77,52.65,49.66,51.52,39.63,22194300,0.036349372384937295,5.014289306503668
2019-07-28,29,2019-29,2019,7,22,51.5,52.99,48.92,49.11,37.78,20039600,-0.04668180671208688,-6.439618316537605
2019-08-04,30,2019-30,2019,7,29,48.52,49.43,45.37,45.6,35.08,24752200,-0.07146638433033359,-9.858578104929533
2019-08-11,31,2019-31,2019,8,5,45.06,46.99,43.74,46.64,35.88,23381600,0.022805017103763037,3.145885221540105
2019-08-18,32,2019-32,2019,8,12,46.39,47.76,42.77,44.51,34.24,24157800,-0.04570791527313267,-6.305272848992003
2019-08-25,33,2019-33,2019,8,19,45.36,45.86,40.44,40.71,31.32,26755000,-0.08528037383177578,-11.764177439732325
2019-09-01,34,2019-34,2019,8,26,41.27,43.0,40.61,42.63,33.34,19485600,0.06449553001277142,8.896969197584784
2019-09-08,35,2019-35,2019,9,3,42.14,43.97,41.15,43.24,33.82,13254000,0.014397120575884825,1.9860405561780305
2019-09-15,36,2019-36,2019,9,9,43.53,48.44,43.26,48.2,37.7,20674300,0.11472501478415142,15.8259792969363
2019-09-22,37,2019-37,2019,9,16,48.69,49.98,47.02,48.21,37.71,24359400,0.0002652519893897587,0.036590733942824465
2019-09-29,38,2019-38,2019,9,23,47.39,48.22,45.95,47.07,36.82,19227400,-0.0236011667992575,-3.255711736898272
2019-10-06,39,2019-39,2019,9,30,47.26,48.57,44.36,45.34,35.46,18044800,-0.03693644758283543,-5.095274608141338
2019-10-13,40,2019-40,2019,10,7,45.08,47.72,43.83,47.13,36.86,16809100,0.03948110547095318,5.446302700235344
2019-10-20,41,2019-41,2019,10,14,46.72,48.54,46.24,47.96,37.51,15522200,0.01763429191535537,2.432598847719639
2019-10-27,42,2019-42,2019,10,21,48.59,50.76,46.02,50.48,39.48,24224400,0.05251932817915228,7.24488728126177
2019-11-03,43,2019-43,2019,10,28,50.75,52.49,49.71,52.31,40.91,18519400,0.03622087132725427,4.996562962494455
2019-11-10,44,2019-44,2019,11,4,52.65,55.99,52.46,55.99,43.79,26108000,0.07039843559032022,9.71125770857622
2019-11-17,45,2019-45,2019,11,11,55.55,56.25,53.15,54.86,42.91,15814100,-0.0200959123087463,-2.7721721609679957
2019-11-24,46,2019-46,2019,11,18,54.75,54.91,52.1,54.2,42.39,21776300,-0.012118387322302415,-1.671695987451791
2019-12-01,47,2019-47,2019,11,25,54.82,55.75,53.12,53.37,42.28,15531100,-0.0025949516395376016,-0.3579659675890165
2019-12-08,48,2019-48,2019,12,2,53.0,53.75,51.05,53.22,42.16,16602400,-0.0028382213812678803,-0.39152431494192774
2019-12-15,49,2019-49,2019,12,9,53.96,54.82,52.69,53.28,42.21,14321100,0.0011859582542694813,0.16359946271885203
2019-12-22,50,2019-50,2019,12,16,53.61,55.25,53.51,54.61,43.26,24197100,0.02487562189054726,3.43151907871971
2019-12-29,51,2019-51,2019,12,23,54.49,55.55,54.22,54.83,43.43,7202900,0.003929727230698177,0.5420943454454676
2020-01-05,52,2019-52,2019,12,30,54.86,55.54,52.41,52.42,41.53,14238500,-0.04374856090260182,-6.034985660433136
2020-01-12,01,2020-01,2020,1,6,52.32,53.17,51.4,51.5,40.8,18990700,-0.01757765470744055,-2.4247859110067282
2020-01-19,02,2020-02,2020,1,13,51.5,53.36,51.47,53.34,42.25,16253800,0.035539215686274606,4.902530566141481
2020-01-26,03,2020-03,2020,1,21,52.98,53.15,48.04,48.49,38.41,21022500,-0.09088757396449709,-12.537674251924367
