Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,36.21,36.88,35.85,36.88,17.25,2915700,,
1998-01-11,01,1998-01,1998,1,5,37.29,37.56,33.75,33.96,15.89,47830800,-0.07884057971014491,-11.214731330310906
1998-01-18,02,1998-02,1998,1,12,32.85,35.42,32.85,35.17,16.45,40855500,0.03524229074889851,5.013063369988656
1998-01-25,03,1998-03,1998,1,20,35.42,35.96,34.06,34.42,16.1,31595100,-0.02127659574468077,-3.0265036834771974
1998-02-01,04,1998-04,1998,1,26,34.33,36.12,34.04,35.73,16.72,34507200,0.03850931677018621,5.4777836854984825
1998-02-08,05,1998-05,1998,2,2,36.17,39.33,36.15,38.98,18.24,33534000,0.09090909090909083,12.931424829402607
1998-02-15,06,1998-06,1998,2,9,39.19,40.33,39.12,39.4,18.43,27313800,0.01041666666666674,1.481725761702394
1998-02-22,07,1998-07,1998,2,17,39.92,40.81,39.42,39.94,18.69,20102100,0.014107433532284386,2.006721378843823
1998-03-01,08,1998-08,1998,2,23,40.54,41.54,39.9,41.35,19.35,22428600,0.035313001605136396,5.023121683331349
1998-03-08,09,1998-09,1998,3,2,41.48,41.92,39.96,40.54,18.97,25255500,-0.019638242894057023,-2.7934550794265336
1998-03-15,10,1998-10,1998,3,9,40.6,42.0,39.46,41.75,19.53,30318600,0.029520295202952074,4.199134261946244
1998-03-22,11,1998-11,1998,3,16,42.4,46.38,42.21,44.88,21.0,47591700,0.07526881720430101,10.706663568430116
1998-03-29,12,1998-12,1998,3,23,44.88,45.5,43.58,44.71,20.92,21912600,-0.003809523809523707,-0.5418882785654285
1998-04-05,13,1998-13,1998,3,30,44.42,46.98,44.1,46.71,21.97,25262400,0.05019120458890991,7.1394816816252185
1998-04-12,14,1998-14,1998,4,6,48.0,49.71,46.0,47.21,22.21,34384200,0.010923987255348377,1.5538899203287875
1998-04-19,15,1998-15,1998,4,13,47.67,48.98,44.04,45.75,21.52,33745200,-0.031067086897793805,-4.419158687760736
1998-04-26,16,1998-16,1998,4,20,45.79,47.12,44.52,44.69,21.02,24599400,-0.02323420074349447,-3.3049645242432413
1998-05-03,17,1998-17,1998,4,27,43.38,47.08,42.79,46.96,22.09,27647100,0.050903901046622346,7.240859668985207
1998-05-10,18,1998-18,1998,5,4,47.06,47.71,44.71,45.62,21.46,22204200,-0.028519692168402,-4.056802809767324
1998-05-17,19,1998-19,1998,5,11,45.62,47.42,45.62,47.33,22.26,24162900,0.03727865796831309,5.302727795840768
1998-05-24,20,1998-20,1998,5,18,47.04,48.83,46.96,48.15,22.65,25891500,0.017520215633423097,2.4921748660438894
1998-05-31,21,1998-21,1998,5,26,48.46,48.46,44.5,45.31,21.31,20588400,-0.05916114790286975,-8.415417306198435
1998-06-07,22,1998-22,1998,6,1,44.71,46.79,44.48,46.75,21.99,20757300,0.03190990145471617,4.539045411728382
1998-06-14,23,1998-23,1998,6,8,46.75,48.25,45.48,46.29,21.77,25940100,-0.010004547521600626,-1.4231035965054126
1998-06-21,24,1998-24,1998,6,15,44.71,47.33,44.5,46.92,22.07,22564800,0.013780431786862612,1.9602067954537672
1998-06-28,25,1998-25,1998,6,22,46.17,50.0,45.88,48.83,22.97,22710450,0.04077933846850912,5.800684449981214
1998-07-05,26,1998-26,1998,6,29,49.21,51.12,49.0,50.29,23.77,17727900,0.03482803656943845,4.954137505387166
1998-07-12,27,1998-27,1998,7,6,50.83,51.38,49.08,49.67,23.47,28529250,-0.01262095077829195,-1.7952756389158013
1998-07-19,28,1998-28,1998,7,13,50.0,51.0,49.21,49.96,23.61,18306150,0.005965061780996983,0.848504228260755
1998-07-26,29,1998-29,1998,7,20,50.0,50.83,47.58,49.08,23.2,24588300,-0.017365523083439194,-2.470170520144249
1998-08-02,30,1998-30,1998,7,27,48.08,51.71,48.04,50.42,23.83,25002600,0.02715517241379306,3.862705778782759
