Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,33.34,33.5,32.97,33.47,16.57,5443200,,
1998-01-11,01,1998-01,1998,1,5,33.44,33.5,32.03,32.06,15.87,33568000,-0.042245021122510606,-10.11547390909396
1998-01-18,02,1998-02,1998,1,12,32.06,33.09,31.12,32.5,16.09,33352200,0.013862633900441068,3.3193760543893283
1998-01-25,03,1998-03,1998,1,20,32.53,33.0,31.81,31.91,15.8,19899600,-0.018023617153511418,-4.315713999411253
1998-02-01,04,1998-04,1998,1,26,31.91,32.78,31.19,32.38,16.03,32461400,0.014556962025316533,3.485631339507067
1998-02-08,05,1998-05,1998,2,2,32.62,34.03,32.62,33.59,16.63,35176800,0.037429819089207506,8.962484770003693
1998-02-15,06,1998-06,1998,2,9,33.59,34.78,33.5,34.28,16.97,23481200,0.020444978953698234,4.895503557173247
1998-02-22,07,1998-07,1998,2,17,34.28,34.91,34.06,34.78,17.22,18637000,0.014731879787860835,3.527514998604379
1998-03-01,08,1998-08,1998,2,23,34.78,34.88,34.03,34.31,16.99,19240600,-0.013356562137049943,-3.1981983254478146
1998-03-08,09,1998-09,1998,3,2,34.31,35.38,33.78,35.25,17.45,31544200,0.02707474985285474,6.482987070536975
1998-03-15,10,1998-10,1998,3,9,35.25,36.59,35.19,35.28,17.5,28383600,0.002865329512893977,0.6860966134821385
1998-03-22,11,1998-11,1998,3,16,35.41,38.75,35.41,38.75,19.23,34966400,0.09885714285714298,23.671117275549264
1998-03-29,12,1998-12,1998,3,23,38.31,38.47,37.44,37.53,18.62,28037000,-0.03172126885075399,-7.595585441716723
1998-04-05,13,1998-13,1998,3,30,38.16,40.69,38.16,40.22,19.95,39974400,0.0714285714285714,17.10340843609048
1998-04-12,14,1998-14,1998,4,6,40.22,40.66,38.62,39.28,19.49,23311200,-0.023057644110275777,-5.52110026708888
1998-04-19,15,1998-15,1998,4,13,39.16,39.16,36.84,38.41,19.05,32589400,-0.0225756798358131,-5.405695021360532
1998-04-26,16,1998-16,1998,4,20,38.41,38.56,36.5,36.81,18.26,30001200,-0.041469816272965865,-9.929852876806336
1998-05-03,17,1998-17,1998,4,27,36.72,38.16,35.94,38.09,18.9,28192400,0.035049288061336004,8.392472047501077
1998-05-10,18,1998-18,1998,5,4,38.09,38.75,37.41,38.22,18.96,23497200,0.0031746031746033854,0.7601514860485165
1998-05-17,19,1998-19,1998,5,11,38.44,39.22,38.38,38.44,19.07,25364600,0.005801687763713037,1.389200896180335
1998-05-24,20,1998-20,1998,5,18,38.44,40.47,38.44,39.41,19.55,24301800,0.025170424750917686,6.027000770347569
1998-05-31,21,1998-21,1998,5,26,39.41,39.84,38.25,39.19,19.44,20347000,-0.005626598465473087,-1.3472761632521264
1998-06-07,22,1998-22,1998,6,1,39.22,41.03,39.22,41.03,20.36,27004400,0.047325102880658276,11.331887893870613
