Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,16.2,16.44,16.19,16.39,10.12,39748000,,
1998-01-11,01,1998-01,1998,1,5,16.41,16.7,15.73,15.88,9.81,374858400,-0.0306324110671935,-5.549685925065893
1998-01-18,02,1998-02,1998,1,12,15.58,16.92,15.55,16.91,10.44,323679200,0.06422018348623837,11.63479582514558
1998-01-25,03,1998-03,1998,1,20,16.77,17.48,16.75,17.28,10.67,372974400,0.022030651340996243,3.99130174242476
1998-02-01,04,1998-04,1998,1,26,17.48,18.77,17.31,18.65,11.52,374848000,0.07966260543580117,14.432505465252897
1998-02-08,05,1998-05,1998,2,2,18.97,19.84,18.81,19.77,12.21,338797600,0.05989583333333348,10.851351612217305
1998-02-15,06,1998-06,1998,2,9,19.84,20.01,19.45,19.69,12.16,298102400,-0.004095004095004184,-0.7418934976839237
1998-02-22,07,1998-07,1998,2,17,19.81,19.81,19.11,19.39,11.98,322148000,-0.014802631578947345,-2.6817985677790945
1998-03-01,08,1998-08,1998,2,23,20.23,21.5,19.84,21.19,13.09,442970400,0.09265442404006663,16.786238336326797
1998-03-08,09,1998-09,1998,3,2,21.47,21.47,19.81,20.69,12.78,316021200,-0.023682200152788435,-4.29051348828627
1998-03-15,10,1998-10,1998,3,9,20.62,20.75,19.88,20.59,12.72,220005600,-0.004694835680751019,-0.8505652212882829
1998-03-22,11,1998-11,1998,3,16,20.61,20.75,19.92,20.45,12.63,202318800,-0.007075471698113178,-1.2818659820830858
1998-03-29,12,1998-12,1998,3,23,20.3,22.73,20.27,21.95,13.56,295941600,0.07363420427553447,13.340337663103844
1998-04-05,13,1998-13,1998,3,30,22.02,23.27,21.78,23.25,14.36,184878400,0.05899705014749257,10.688518709994693
1998-04-12,14,1998-14,1998,4,6,23.16,23.16,21.66,22.25,13.74,207275200,-0.04317548746518096,-7.822119994661149
1998-04-19,15,1998-15,1998,4,13,22.2,23.06,21.69,23.03,14.23,179230000,0.03566229985443958,6.46095284904374
1998-04-26,16,1998-16,1998,4,20,23.09,24.78,22.97,23.03,14.23,293278800,0.0,0.0
1998-05-03,17,1998-17,1998,4,27,22.38,23.06,22.03,22.41,13.84,255951200,-0.027406886858749147,-4.965316439382997
1998-05-10,18,1998-18,1998,5,4,22.3,22.47,20.47,21.44,13.24,311135200,-0.043352601156069315,-7.854207751491764
1998-05-17,19,1998-19,1998,5,11,21.53,22.75,20.81,22.36,13.81,339227200,0.04305135951661643,7.799631685544871
1998-05-24,20,1998-20,1998,5,18,21.12,21.84,21.12,21.39,13.21,241138000,-0.04344677769732075,-7.871269752400148
1998-05-31,21,1998-21,1998,5,26,21.33,21.62,20.72,21.2,13.1,167886000,-0.00832702498107507,-1.5086103811344003
1998-06-07,22,1998-22,1998,6,1,20.97,21.62,20.78,21.56,13.32,185167600,0.016793893129771087,3.0425562037840055
1998-06-14,23,1998-23,1998,6,8,21.41,22.09,21.0,21.44,13.24,170462000,-0.006006006006005982,-1.0881104632697265
1998-06-21,24,1998-24,1998,6,15,21.17,23.69,21.14,23.67,14.62,310587200,0.10422960725075514,18.883318817634876
1998-06-28,25,1998-25,1998,6,22,23.69,26.72,23.42,26.11,16.13,424019600,0.10328317373461005,18.71185308638572
1998-07-05,26,1998-26,1998,6,29,26.38,27.53,26.16,26.81,16.56,223707600,0.026658400495970236,4.8297128715310835
1998-07-12,27,1998-27,1998,7,6,26.72,28.31,26.34,28.3,17.48,198370800,0.05555555555555558,10.065021785245015
1998-07-19,28,1998-28,1998,7,13,28.53,29.91,28.41,29.48,18.21,323119200,0.04176201372997723,7.5660404037825995
1998-07-26,29,1998-29,1998,7,20,29.55,29.88,27.97,28.45,17.58,303450400,-0.03459637561779261,-6.267838937104835
