Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,4.91,5.02,4.91,5.01,3.81,11108800,,
1998-01-11,01,1998-01,1998,1,5,5.2,5.41,4.94,4.94,3.75,89497600,-0.015748031496062964,-2.649322307524871
1998-01-18,02,1998-02,1998,1,12,4.88,5.21,4.86,5.15,3.91,54856000,0.04266666666666663,7.177897238520725
1998-01-25,03,1998-03,1998,1,20,5.21,5.27,4.98,5.02,3.81,37628000,-0.025575447570332477,-4.302607839586435
1998-02-01,04,1998-04,1998,1,26,5.01,5.27,4.98,5.01,3.81,53609600,0.0,0.0
1998-02-08,05,1998-05,1998,2,2,5.04,5.27,5.01,5.13,3.9,64946400,0.023622047244094446,3.9739834612873066
1998-02-15,06,1998-06,1998,2,9,5.13,5.16,4.97,5.11,3.88,67580000,-0.00512820512820511,-0.8627280334760462
1998-02-22,07,1998-07,1998,2,17,5.16,5.84,5.14,5.63,4.28,129170400,0.10309278350515472,17.343501703899975
1998-03-01,08,1998-08,1998,2,23,5.75,5.94,5.31,5.48,4.17,122460800,-0.02570093457943934,-4.323718765902178
1998-03-08,09,1998-09,1998,3,2,5.48,5.87,5.45,5.81,4.42,63949600,0.05995203836930463,10.085849312220013
1998-03-15,10,1998-10,1998,3,9,5.84,5.95,5.59,5.6,4.26,44712000,-0.03619909502262442,-6.089844942183874
1998-03-22,11,1998-11,1998,3,16,5.59,5.78,5.36,5.54,4.22,80140000,-0.009389671361502372,-1.5796428781955874
1998-03-29,12,1998-12,1998,3,23,5.38,5.63,5.38,5.48,4.17,56281600,-0.011848341232227444,-1.9932697455903912
1998-04-05,13,1998-13,1998,3,30,5.42,5.68,5.34,5.63,4.29,54424000,0.02877697841726623,4.841207669865608
1998-04-12,14,1998-14,1998,4,6,5.6,5.63,5.44,5.53,4.21,25065600,-0.018648018648018683,-3.1371928490038212
1998-04-19,15,1998-15,1998,4,13,5.5,5.5,5.36,5.48,4.17,33636000,-0.009501187648456089,-1.5984034824496929
1998-04-26,16,1998-16,1998,4,20,5.45,5.95,5.38,5.88,4.48,76509600,0.07434052757793785,12.506453147152836
1998-05-03,17,1998-17,1998,4,27,5.76,6.09,5.7,5.98,4.55,45535200,0.015624999999999778,2.6286244769973006
1998-05-10,18,1998-18,1998,5,4,5.98,6.09,5.7,5.75,4.38,28493600,-0.03736263736263734,-6.285589958182642
1998-05-17,19,1998-19,1998,5,11,5.75,5.94,5.66,5.88,4.47,26952800,0.020547945205479312,3.456821230023873
1998-05-24,20,1998-20,1998,5,18,5.86,5.97,5.69,5.9,4.49,38448800,0.004474272930648837,0.7527157339052895
1998-05-31,21,1998-21,1998,5,26,5.91,5.93,5.74,5.75,4.38,25744800,-0.024498886414254017,-4.121495839211882
1998-06-07,22,1998-22,1998,6,1,5.72,5.84,5.66,5.79,4.41,23454400,0.006849315068493178,1.1522737433413035
1998-06-14,23,1998-23,1998,6,8,5.73,5.84,5.48,5.52,4.2,20311200,-0.04761904761904756,-8.011046025134736
1998-06-21,24,1998-24,1998,6,15,5.45,5.62,5.42,5.57,4.25,24124800,0.011904761904761862,2.002761506283679
1998-06-28,25,1998-25,1998,6,22,5.59,6.0,5.59,5.97,4.55,37419200,0.07058823529411762,11.875197637258557
1998-07-05,26,1998-26,1998,6,29,6.11,6.54,6.0,6.53,4.98,88648000,0.09450549450549461,15.898845188344357
1998-07-12,27,1998-27,1998,7,6,6.52,6.59,6.28,6.38,4.86,44184800,-0.02409638554216864,-4.053782325971793
1998-07-19,28,1998-28,1998,7,13,6.31,6.34,6.05,6.28,4.79,46689600,-0.01440329218107006,-2.4230941680963287
1998-07-26,29,1998-29,1998,7,20,6.28,6.3,5.66,5.72,4.36,34869600,-0.08977035490605423,-15.1022433417467
1998-08-02,30,1998-30,1998,7,27,5.64,5.82,5.49,5.56,4.24,34632800,-0.02752293577981657,-4.630237610857706
1998-08-09,31,1998-31,1998,8,3,5.55,5.66,5.34,5.4,4.11,34312800,-0.030660377358490587,-5.158055577504213
1998-08-16,32,1998-32,1998,8,10,5.41,5.48,4.89,4.95,3.77,53033600,-0.08272506082725073,-13.916999664102713
1998-08-23,33,1998-33,1998,8,17,4.88,5.04,4.82,4.96,3.78,40803200,0.0026525198938991412,0.4462386380048425
1998-08-30,34,1998-34,1998,8,24,4.84,5.01,4.42,4.44,3.38,57952800,-0.10582010582010581,-17.802324500299427
1998-09-06,35,1998-35,1998,8,31,4.45,4.47,3.88,4.3,3.27,77186400,-0.032544378698224796,-5.475004827828766
1998-09-13,36,1998-36,1998,9,8,4.53,4.53,4.01,4.26,3.24,36944800,-0.00917431192660545,-1.5434125369525562
1998-09-20,37,1998-37,1998,9,14,4.24,4.87,4.21,4.72,3.6,56748800,0.11111111111111116,18.69244072531441
1998-09-27,38,1998-38,1998,9,21,4.72,5.25,4.62,5.12,3.91,53185600,0.08611111111111103,14.486641562118647
1998-10-04,39,1998-39,1998,9,28,5.06,5.12,4.51,4.9,3.74,27654400,-0.04347826086956519,-7.3144333272969355
