Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,15.81,15.81,15.09,15.47,9.15,1105400,,
1998-01-11,01,1998-01,1998,1,5,15.5,15.72,14.97,15.06,8.91,6402400,-0.02622950819672132,-4.73085676988254
1998-01-18,02,1998-02,1998,1,12,14.81,16.28,14.78,16.22,9.59,9263000,0.07631874298540953,13.765147223255287
1998-01-25,03,1998-03,1998,1,20,16.34,17.03,16.19,16.47,9.74,6455400,0.01564129301355588,2.821124833447959
1998-02-01,04,1998-04,1998,1,26,16.47,17.44,16.16,16.56,9.79,6914000,0.005133470225872516,0.925892784146641
1998-02-08,05,1998-05,1998,2,2,16.88,18.03,16.88,17.41,10.29,8799600,0.05107252298263543,9.211640160968953
1998-02-15,06,1998-06,1998,2,9,17.5,18.59,17.34,17.97,10.63,7092000,0.03304178814382919,5.959546246802996
1998-02-22,07,1998-07,1998,2,17,18.03,18.38,17.56,18.38,10.88,7463400,0.0235183443085607,4.241860638564722
1998-03-01,08,1998-08,1998,2,23,18.25,18.62,18.09,18.34,10.87,5982000,-0.0009191176470589868,-0.16577565657334908
1998-03-08,09,1998-09,1998,3,2,18.31,18.47,17.81,18.0,10.66,5925600,-0.01931922723091073,-3.4844914456183997
1998-03-15,10,1998-10,1998,3,9,18.0,18.41,17.66,18.28,10.83,8492400,0.015947467166979257,2.876347602232739
1998-03-22,11,1998-11,1998,3,16,18.25,18.34,17.81,17.91,10.61,6367600,-0.02031394275161591,-3.663902230599247
1998-03-29,12,1998-12,1998,3,23,17.72,17.91,17.22,17.44,10.33,10271200,-0.026390197926484338,-4.759839398538727
1998-04-05,13,1998-13,1998,3,30,17.44,18.09,17.22,17.84,10.57,10488400,0.023233301064859546,4.1904491233712555
1998-04-12,14,1998-14,1998,4,6,18.06,18.25,17.19,17.47,10.35,5872600,-0.02081362346263016,-3.7540265995638538
1998-04-19,15,1998-15,1998,4,13,17.44,17.47,16.88,17.28,10.24,6726200,-0.010628019323671412,-1.916911167023646
1998-04-26,16,1998-16,1998,4,20,17.16,17.59,16.75,16.81,9.96,8224200,-0.02734374999999989,-4.93182578305624
1998-05-03,17,1998-17,1998,4,27,16.56,17.56,16.25,17.44,10.33,9066000,0.03714859437751006,6.700265894593935
1998-05-10,18,1998-18,1998,5,4,17.5,17.75,16.97,17.5,10.37,7157600,0.0038722168441431837,0.6984081872285292
1998-05-17,19,1998-19,1998,5,11,17.53,18.25,17.44,17.75,10.51,7654000,0.013500482160077265,2.434999808027799
1998-05-24,20,1998-20,1998,5,18,17.62,17.75,17.34,17.44,10.35,5283400,-0.015223596574690745,-2.745787468723448
1998-05-31,21,1998-21,1998,5,26,17.5,17.78,16.78,17.59,10.44,5081600,0.008695652173912993,1.568381863928441
1998-06-07,22,1998-22,1998,6,1,17.69,19.31,17.56,19.0,11.27,8740200,0.07950191570881238,14.339276715706017
1998-06-14,23,1998-23,1998,6,8,19.25,20.0,19.22,19.5,11.57,7477600,0.02661934338952987,4.8011689712095675
1998-06-21,24,1998-24,1998,6,15,19.62,20.44,19.12,19.91,11.81,8566000,0.02074330164217808,3.741343080762774
1998-06-28,25,1998-25,1998,6,22,19.97,20.38,19.91,20.22,12.0,4958400,0.01608806096528359,2.901705650028492
1998-07-05,26,1998-26,1998,6,29,20.47,21.62,20.47,21.03,12.48,6061400,0.040000000000000036,7.214556574070878
1998-07-12,27,1998-27,1998,7,6,21.16,23.5,21.16,23.16,13.74,10082600,0.10096153846153855,18.20981827590005
1998-07-19,28,1998-28,1998,7,13,23.03,24.0,22.81,23.69,14.06,5544600,0.02328966521106257,4.200615181409529
1998-07-26,29,1998-29,1998,7,20,23.75,24.12,22.19,22.84,13.56,7415400,-0.03556187766714081,-6.4140794577443705
1998-08-02,30,1998-30,1998,7,27,22.88,23.06,21.41,21.59,12.81,6740600,-0.05530973451327437,-9.975880218571453
1998-08-09,31,1998-31,1998,8,3,21.34,23.0,21.0,22.44,13.31,9092600,0.03903200624512104,7.039965431372833
1998-08-16,32,1998-32,1998,8,10,22.19,23.0,22.0,22.56,13.39,6827600,0.006010518407212562,1.0840806272082342
1998-08-23,33,1998-33,1998,8,17,22.44,23.44,22.12,23.34,13.87,5784200,0.03584764749813285,6.465622023065739
1998-08-30,34,1998-34,1998,8,24,23.34,24.97,22.06,22.31,13.26,10621800,-0.043979812545061225,-7.932371143084402
1998-09-06,35,1998-35,1998,8,31,22.19,22.38,19.19,20.38,12.11,13923200,-0.0867269984917044,-15.642420927944015
1998-09-13,36,1998-36,1998,9,8,21.12,22.38,20.56,21.94,13.03,7124000,0.07597027250206434,13.702295722843095
1998-09-20,37,1998-37,1998,9,14,21.88,23.0,21.31,23.0,13.67,9378800,0.049117421335379996,8.859010374914366
1998-09-27,38,1998-38,1998,9,21,22.62,24.19,22.44,23.84,14.17,8225800,0.03657644476956845,6.597070751710755
1998-10-04,39,1998-39,1998,9,28,23.88,24.16,20.22,21.19,12.59,10872800,-0.11150317572335922,-20.11114923611852
1998-10-11,40,1998-40,1998,10,5,20.94,21.72,19.38,21.38,12.7,10290600,0.008737092930897417,1.5758562810718524
1998-10-18,41,1998-41,1998,10,12,21.62,25.0,21.62,24.16,14.35,11797200,0.12992125984251968,23.433106982710505
1998-10-25,42,1998-42,1998,10,19,24.0,25.81,23.88,24.47,14.54,11400200,0.013240418118466879,2.3880936395008074
1998-11-01,43,1998-43,1998,10,26,24.5,24.69,22.75,24.34,14.46,9365400,-0.005502063273727487,-0.9923736690606134
1998-11-08,44,1998-44,1998,11,2,24.53,26.0,23.81,25.81,15.34,12536200,0.06085753803596128,10.976503777977815
1998-11-15,45,1998-45,1998,11,9,25.81,26.31,25.06,26.19,15.58,7780000,0.015645371577575062,2.821860459219393
1998-11-22,46,1998-46,1998,11,16,26.62,27.5,26.25,26.62,15.84,9900200,0.016688061617458283,3.0099241162683357
1998-11-29,47,1998-47,1998,11,23,26.62,27.22,26.25,27.09,16.12,7822600,0.017676767676767735,3.188251011268704
1998-12-06,48,1998-48,1998,11,30,27.0,27.59,26.0,27.19,16.18,9183000,0.003722084367245637,0.6713297060239607
1998-12-13,49,1998-49,1998,12,7,27.5,28.91,27.38,28.03,16.68,8156200,0.030902348578492056,5.573668552279738
1998-12-20,50,1998-50,1998,12,14,27.81,28.62,27.34,28.0,16.66,10306200,-0.0011990407673860837,-0.2162636862731063
1998-12-27,51,1998-51,1998,12,21,27.88,30.22,27.88,30.09,17.9,5178400,0.07442977190876343,13.424445005774116
1999-01-03,52,1998-52,1998,12,28,30.06,30.19,28.75,29.28,17.42,5864800,-0.02681564245810042,-4.836574239600559
1999-01-10,01,1999-01,1999,1,4,29.0,29.47,26.94,27.0,16.06,18195800,-0.07807118254879464,-14.081224082572337
1999-01-17,02,1999-02,1999,1,11,27.0,28.91,25.94,28.5,16.96,18331600,0.05603985056039873,10.107566806761845
1999-01-24,03,1999-03,1999,1,19,29.12,29.25,28.12,29.22,17.38,10973600,0.024764150943396013,4.466559199749027
1999-01-31,04,1999-04,1999,1,25,29.25,31.28,29.12,31.25,18.59,12417400,0.06962025316455711,12.556981378920845
1999-02-07,05,1999-05,1999,2,1,31.19,31.5,29.88,30.34,18.05,9084400,-0.029047875201721363,-5.2391884749842275
1999-02-14,06,1999-06,1999,2,8,30.34,31.03,28.75,30.19,17.96,8460400,-0.004986149584487509,-0.8993214566016275
1999-02-21,07,1999-07,1999,2,16,32.0,32.38,30.56,31.19,18.57,8795000,0.033964365256124784,6.125945866067984
1999-02-28,08,1999-08,1999,2,22,31.38,33.94,31.06,32.0,19.06,10381200,0.026386645126548203,4.759198601635337
1999-03-07,09,1999-09,1999,3,1,32.0,32.0,28.06,29.94,17.83,15958100,-0.0645330535152151,-11.639434137076561
1999-03-14,10,1999-10,1999,3,8,30.38,31.0,29.19,30.38,18.09,11717700,0.014582164890633909,2.6300963393977077
1999-03-21,11,1999-11,1999,3,15,31.0,31.0,29.5,29.5,17.57,8879900,-0.028745163073521263,-5.184590130620302
1999-03-28,12,1999-12,1999,3,22,29.5,30.0,27.56,29.88,17.79,10382700,0.01252134319863396,2.258398472247556
1999-04-04,13,1999-13,1999,3,29,29.94,30.0,27.5,27.94,16.64,9575100,-0.06464305789769531,-11.659274958096542
1999-04-11,14,1999-14,1999,4,5,28.12,29.44,25.94,29.44,17.53,16026000,0.05348557692307687,9.646868015208938
1999-04-18,15,1999-15,1999,4,12,30.12,30.12,25.5,25.69,15.3,15861100,-0.1272104962920707,-22.944183057869424
1999-04-25,16,1999-16,1999,4,19,25.81,26.88,23.31,26.5,15.78,25005200,0.03137254901960773,5.658475744369291
1999-05-02,17,1999-17,1999,4,26,26.75,28.25,24.88,26.88,16.01,12829800,0.014575411913815062,2.6288783460651337
1999-05-09,18,1999-18,1999,5,3,26.69,27.38,25.06,25.5,15.19,11512100,-0.05121798875702699,-9.237876937442426
1999-05-16,19,1999-19,1999,5,10,25.44,26.06,24.5,25.5,15.19,11370900,0.0,0.0
1999-05-23,20,1999-20,1999,5,17,25.19,26.81,24.81,26.06,15.54,11290500,0.02304147465437789,4.155850561100734
1999-05-30,21,1999-21,1999,5,24,26.06,27.0,23.0,23.25,13.86,17572700,-0.10810810810810811,-19.498801551542897
