Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,6.57,6.61,6.47,6.56,4.21,10029000,,
1998-01-11,01,1998-01,1998,1,5,6.64,6.7,6.34,6.36,4.08,82624800,-0.030878859857482177,-6.707590249632047
1998-01-18,02,1998-02,1998,1,12,6.26,6.74,6.26,6.69,4.29,97696800,0.05147058823529416,11.180581711349358
1998-01-25,03,1998-03,1998,1,20,6.59,6.99,6.46,6.58,4.22,73517400,-0.01631701631701643,-3.544426836231986
1998-02-01,04,1998-04,1998,1,26,6.57,6.92,6.35,6.64,4.26,75661800,0.009478672985782088,2.0589832264638144
1998-02-08,05,1998-05,1998,2,2,6.82,7.31,6.7,7.18,4.6,108540600,0.07981220657277,17.337025430341857
1998-02-15,06,1998-06,1998,2,9,7.2,7.45,7.06,7.36,4.72,70344000,0.026086956521739202,5.66667992326776
1998-02-22,07,1998-07,1998,2,17,7.42,7.6,7.39,7.56,4.85,58168800,0.02754237288135597,5.982829438760798
1998-03-01,08,1998-08,1998,2,23,7.67,7.99,7.57,7.72,4.95,90442800,0.020618556701031077,4.4788191833388
1998-03-08,09,1998-09,1998,3,2,7.78,8.39,7.75,8.36,5.37,110697600,0.08484848484848473,18.431019548406173
1998-03-15,10,1998-10,1998,3,9,8.39,8.71,8.39,8.56,5.49,101063400,0.022346368715083775,4.854139226635307
1998-03-22,11,1998-11,1998,3,16,8.59,8.67,8.26,8.34,5.36,82687800,-0.023679417122040025,-5.143707641338956
1998-03-29,12,1998-12,1998,3,23,8.22,8.45,8.12,8.32,5.35,83465400,-0.001865671641791189,-0.40526628804467724
1998-04-05,13,1998-13,1998,3,30,8.31,8.62,8.31,8.58,5.51,82510800,0.029906542056074903,6.49638072200168
1998-04-12,14,1998-14,1998,4,6,8.61,8.61,8.25,8.47,5.44,76981800,-0.01270417422867498,-2.759635413327573
1998-04-19,15,1998-15,1998,4,13,8.45,8.99,8.44,8.88,5.7,93073800,0.047794117647058876,10.381968731967262
1998-04-26,16,1998-16,1998,4,20,8.88,8.88,8.3,8.38,5.38,67210200,-0.056140350877193046,-12.194960302704867
1998-05-03,17,1998-17,1998,4,27,8.22,8.54,8.03,8.44,5.42,82861800,0.0074349442379182396,1.6150388876723487
1998-05-10,18,1998-18,1998,5,4,8.46,8.58,8.29,8.42,5.41,66582000,-0.0018450184501844769,-0.4007799453725595
1998-05-17,19,1998-19,1998,5,11,8.45,9.12,8.43,9.01,5.79,105102000,0.07024029574861368,15.25778882605055
1998-05-24,20,1998-20,1998,5,18,9.03,9.38,8.96,9.25,5.94,62711400,0.02590673575129543,5.627531875438627
1998-05-31,21,1998-21,1998,5,26,9.4,9.4,8.75,9.19,5.9,59047800,-0.006734006734006703,-1.4627793292385805
1998-06-07,22,1998-22,1998,6,1,9.28,9.7,9.23,9.64,6.19,91525200,0.04915254237288136,10.677049459942332
1998-06-14,23,1998-23,1998,6,8,9.65,9.96,9.57,9.8,6.3,81692400,0.017770597738287375,3.860177761407443
1998-06-21,24,1998-24,1998,6,15,9.6,9.85,9.38,9.65,6.21,96955800,-0.014285714285714235,-3.103181862741849
1998-06-28,25,1998-25,1998,6,22,9.62,10.15,9.54,9.95,6.4,77531400,0.030595813204508993,6.6461060828449146
1998-07-05,26,1998-26,1998,6,29,10.04,10.48,9.96,10.11,6.51,70063800,0.01718749999999991,3.733515678611281
1998-07-12,27,1998-27,1998,7,6,10.1,10.7,10.04,10.7,6.88,89652000,0.056835637480798784,12.345992357145038
