Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,7910.2,7965.04,7880.85,7965.0,7965.0,47030000,,
1998-01-11,01,1998-01,1998,1,5,7967.0,8035.54,7527.36,7580.4,7580.4,338770000,-0.04828625235404904,-14.234212237037802
1998-01-18,02,1998-02,1998,1,12,7575.2,7803.12,7443.41,7753.5,7753.5,338520000,0.0228352065854045,6.7315469966472685
1998-01-25,03,1998-03,1998,1,20,7753.8,7874.87,7642.7,7700.7,7700.7,273150000,-0.006809827819694303,-2.0074561548590513
1998-02-01,04,1998-04,1998,1,26,7701.73,8015.12,7690.77,7906.5,7906.5,326790000,0.026724843196073156,7.8781655545600024
1998-02-08,05,1998-05,1998,2,2,7909.99,8211.91,7909.99,8189.49,8189.49,289520000,0.03579206981597416,10.551075996286736
1998-02-15,06,1998-06,1998,2,9,8191.49,8390.27,8141.91,8370.1,8370.1,264800000,0.02205387637081202,6.501220152887006
1998-02-22,07,1998-07,1998,2,17,8368.6,8451.81,8318.53,8413.94,8413.94,223750000,0.005237691305958192,1.544009030447045
1998-03-01,08,1998-08,1998,2,23,8413.94,8566.89,8345.44,8545.72,8545.72,253410000,0.015662103604256572,4.6170016498032975
1998-03-08,09,1998-09,1998,3,2,8544.47,8585.08,8405.72,8569.39,8569.39,277470000,0.002769807576190164,0.816506292643355
1998-03-15,10,1998-10,1998,3,9,8570.63,8698.42,8541.24,8602.52,8602.52,256990000,0.003866086150823067,1.1396761627716896
1998-03-22,11,1998-11,1998,3,16,8603.51,8913.41,8602.02,8906.43,8906.43,283750000,0.035328020161534024,10.41427968371743
1998-03-29,12,1998-12,1998,3,23,8899.71,8959.24,8771.91,8796.08,8796.08,267870000,-0.012389925031690674,-3.652402369290183
1998-04-05,13,1998-13,1998,3,30,8795.08,9030.49,8748.74,8983.41,8983.41,325490000,0.021296986839592247,6.27809813156346
1998-04-12,14,1998-14,1998,4,6,8983.41,9094.51,8861.84,8994.86,8994.86,279450000,0.0012745716826907394,0.3757285554014847
1998-04-19,15,1998-15,1998,4,13,8997.11,9167.5,8925.61,9167.5,9167.5,319350000,0.019193183662669533,5.657922005536956
1998-04-26,16,1998-16,1998,4,20,9166.75,9213.33,9020.03,9064.62,9064.62,317340000,-0.011222252522497866,-3.3081864173596918
1998-05-03,17,1998-17,1998,4,27,9058.14,9147.82,8840.67,9147.07,9147.07,302230000,0.009095803243820422,2.6813344901889025
1998-05-10,18,1998-18,1998,5,4,9145.33,9261.91,8965.22,9055.15,9055.15,242970000,-0.010049119554130459,-2.962360787083633
1998-05-17,19,1998-19,1998,5,11,9055.51,9225.54,9055.4,9096.0,9096.0,311000000,0.004511244982137175,1.3298613041694816
1998-05-24,20,1998-20,1998,5,18,9092.97,9202.37,8999.85,9114.44,9114.44,263630000,0.0020272647317503,0.597613503752803
1998-05-31,21,1998-21,1998,5,26,9114.44,9168.74,8788.1,8899.95,8899.95,207540000,-0.023532987215890366,-6.937244417859478
1998-06-07,22,1998-22,1998,6,1,8900.95,9039.46,8749.74,9037.71,9037.71,260480000,0.015478738644598922,4.562947843070375
1998-06-14,23,1998-23,1998,6,8,9039.95,9104.72,8684.22,8834.94,8834.94,276980000,-0.022435993188539838,-6.613863640789068
1998-06-21,24,1998-24,1998,6,15,8831.95,8892.48,8569.88,8712.87,8712.87,343700000,-0.013816732201916482,-4.073008133709554
1998-06-28,25,1998-25,1998,6,22,8711.74,9025.01,8684.22,8944.54,8944.54,294880000,0.026589401655252587,7.838239001063669
1998-07-05,26,1998-26,1998,6,29,8945.54,9052.66,8929.6,9025.26,9025.26,228380000,0.009024499862485769,2.66031510239931
1998-07-12,27,1998-27,1998,7,6,9023.06,9184.44,9000.59,9105.74,9105.74,298380000,0.008917194629295855,2.6286827973661784
1998-07-19,28,1998-28,1998,7,13,9107.03,9354.71,9073.3,9337.97,9337.97,314460000,0.025503693274791406,7.518185098315112
1998-07-26,29,1998-29,1998,7,20,9340.55,9367.84,8863.21,8937.36,8937.36,317920000,-0.04290118730302184,-12.646759181361835
1998-08-02,30,1998-30,1998,7,27,8937.36,9041.37,8816.09,8883.29,8883.29,366060000,-0.006049884977219144,-1.7834340537339861
1998-08-09,31,1998-31,1998,8,3,8883.29,8886.12,8361.92,8598.02,8598.02,419280000,-0.03211310224027364,-9.466560161391747
1998-08-16,32,1998-32,1998,8,10,8596.73,8635.35,8316.87,8425.0,8425.0,376650000,-0.02012323767565094,-5.932090854169417
