Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,970.43,975.04,965.73,975.04,975.04,366730000,,
1998-01-11,01,1998-01,1998,1,5,975.04,982.63,921.72,927.69,927.69,3312380000,-0.048562110272398984,-14.021184193390136
1998-01-18,02,1998-02,1998,1,12,927.69,965.12,912.83,961.51,961.51,3194600000,0.03645614375491801,10.525866847655085
1998-01-25,03,1998-03,1998,1,20,961.51,978.6,950.86,957.59,957.59,2553290000,-0.004076920676851947,-1.177116386238914
1998-02-01,04,1998-04,1998,1,26,957.59,992.65,954.24,980.28,980.28,3306830000,0.02369490074040037,6.841353595666912
1998-02-08,05,1998-05,1998,2,2,980.28,1013.51,980.28,1012.46,1012.46,3385490000,0.03282735544946358,9.478138300765412
1998-02-15,06,1998-06,1998,2,9,1012.46,1026.3,1006.28,1020.09,1020.09,2910330000,0.007536100191612549,2.1758743245245378
1998-02-22,07,1998-07,1998,2,17,1020.09,1034.21,1020.09,1034.21,1034.21,2388010000,0.013841915909380553,3.99653251199733
1998-03-01,08,1998-08,1998,2,23,1034.21,1051.66,1028.89,1049.34,1049.34,2972720000,0.014629523984490467,4.2239360953954375
1998-03-08,09,1998-09,1998,3,2,1049.34,1055.69,1030.87,1055.69,1055.69,3161880000,0.006051422799092876,1.7472081262989603
1998-03-15,10,1998-10,1998,3,9,1055.69,1075.86,1050.02,1068.61,1068.61,3104620000,0.012238441209066808,3.533566343590962
1998-03-22,11,1998-11,1998,3,16,1068.61,1101.04,1068.61,1099.16,1099.16,3178180000,0.028588540253226435,8.254278623028922
1998-03-29,12,1998-12,1998,3,23,1099.16,1113.07,1091.14,1095.44,1095.44,3102580000,-0.0033844026347392697,-0.9771678467038325
1998-04-05,13,1998-13,1998,3,30,1095.44,1126.36,1090.02,1122.7,1122.7,3177860000,0.024884977725845303,7.184960752020696
1998-04-12,14,1998-14,1998,4,6,1122.7,1131.99,1098.21,1110.67,1110.67,2461840000,-0.010715240046316854,-3.0937772992783277
1998-04-19,15,1998-15,1998,4,13,1110.67,1122.72,1100.6,1122.72,1122.72,3235090000,0.010849307174948475,3.1324860764356353
1998-04-26,16,1998-16,1998,4,20,1122.72,1132.98,1104.77,1107.9,1107.9,3254650000,-0.013200085506626658,-3.811218853932413
1998-05-03,17,1998-17,1998,4,27,1107.9,1121.02,1076.7,1121.0,1121.0,3280920000,0.011824171856665622,3.4139556663960944
1998-05-10,18,1998-18,1998,5,4,1121.0,1130.52,1094.53,1108.14,1108.14,2892000000,-0.011471900089205955,-3.312245355415429
1998-05-17,19,1998-19,1998,5,11,1108.14,1124.03,1102.78,1108.73,1108.73,2965640000,0.0005324237009762811,0.15372500779806259
1998-05-24,20,1998-20,1998,5,18,1108.73,1124.45,1097.99,1110.47,1110.47,2668400000,0.0015693631452202705,0.45311724721233915
1998-05-31,21,1998-21,1998,5,26,1110.47,1116.79,1074.39,1090.82,1090.82,2369130000,-0.01769521013624875,-5.109081942060985
1998-06-07,22,1998-22,1998,6,1,1090.82,1113.88,1078.1,1113.86,1113.86,2848980000,0.021121724940870168,6.098408702110815
1998-06-14,23,1998-23,1998,6,8,1113.86,1126.0,1080.83,1098.84,1098.84,2977180000,-0.013484639003106258,-3.8933770831492622
1998-06-21,24,1998-24,1998,6,15,1098.84,1112.87,1074.67,1100.65,1100.65,3310760000,0.0016471915838522921,0.47558840564063676
1998-06-28,25,1998-25,1998,6,22,1100.65,1142.04,1099.42,1133.2,1133.2,3093500000,0.029573433879980016,8.538643838505498
1998-07-05,26,1998-26,1998,6,29,1133.2,1148.56,1131.98,1146.42,1146.42,2533360000,0.01166607836216027,3.36830983276567
1998-07-12,27,1998-27,1998,7,6,1146.42,1166.93,1145.03,1164.33,1164.33,2986550000,0.015622546710629459,4.510648399974399
1998-07-19,28,1998-28,1998,7,13,1164.33,1188.1,1160.21,1186.75,1186.75,3294910000,0.019255709292039347,5.55963991769751
1998-07-26,29,1998-29,1998,7,20,1186.75,1190.58,1129.11,1140.8,1140.8,3400280000,-0.038719191068043,-11.179269326206695
1998-08-02,30,1998-30,1998,7,27,1140.8,1147.27,1114.3,1120.67,1120.67,3301250000,-0.017645511921458468,-5.094732734010748
1998-08-09,31,1998-31,1998,8,3,1120.67,1121.79,1057.35,1089.45,1089.45,3852100000,-0.027858334746178604,-8.043448701184182
1998-08-16,32,1998-32,1998,8,10,1089.45,1092.82,1054.0,1062.75,1062.75,3370010000,-0.024507779154619325,-7.076053403987903
1998-08-23,33,1998-33,1998,8,17,1062.75,1106.32,1054.92,1081.24,1081.24,3255940000,0.01739825923312166,5.023344248913309
