Date,UNH,GS,MSFT,HD,MCD,V,AMGN,CAT,CRM,BA,HON,TRV,AAPL,JNJ,CVX,AXP,PG,WMT,JPM,IBM,NKE,MRK,MMM,DIS,KO,DOW,CSCO,VZ,WBA,INTC,Chosen,Chosen Return,Portfolio Returns
12/31/2022,0.069376213,-0.078722271,-0.280244325,-0.219767502,0.005092775,-0.034054563,0.204314537,0.185981356,-0.478255722,-0.053794953,0.049056795,0.224275118,-0.26402056,0.059772713,0.584652862,-0.085172501,-0.050487964,-0.00452099,-0.126433643,0.106350806,-0.290382473,0.494183602,-0.296228571,-0.439094222,0.106049563,-0.066453163,-0.224647645,-0.200228833,-0.250496141,-0.466403162,"['CRM', 'INTC', 'DIS', 'MMM', 'NKE', 'MSFT', 'AAPL', 'WBA', 'CSCO', 'HD', 'VZ']",-0.073929411,1213.535952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"['CRM', 'INTC', 'DIS', 'MMM', 'NKE', 'MSFT', 'AAPL', 'WBA', 'CSCO', 'HD', 'VZ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CRM,INTC,DIS,MMM,NKE,MSFT,AAPL,WBA,CSCO,HD,VZ,,,,,,,,,,,,,,,,,,,
,,,,-0.478255722,-0.466403162,-0.439094222,-0.296228571,-0.290382473,-0.280244325,-0.26402056,-0.250496141,-0.224647645,-0.219767502,-0.200228833,,,,,,,,,,,,,,,,,,,
,,,,-47.82557222,-46.64031621,-43.90942218,-29.62285714,-29.03824731,-28.02443249,-26.40205597,-25.04961411,-22.46476452,-21.97675017,-20.0228833,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CRM,INTC,DIS,MMM,NKE,MSFT,AAPL,WBA,CSCO,HD,VZ,,,,,,,,,,,,,,,,,,,
,,,,-47.83,-46.64,-43.91,-29.62,-29.04,-28.02,-26.40,-25.05,-22.46,-21.98,-20.02,,,,,,,,,,,,,,,,,,,
,,,,Technology,Technology,Communication Services,Industrials,Consumer Discretionary,Technology,Technology,Consumer Staples,Technology,Consumer Discretionary,Communication Services,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
