Year,Annual Returns
1998,0.0
1999,38.80616689941143
2000,26.519206028953988
2001,-7.1969931107898955
2002,-14.409371395195825
2003,33.521069909887835
2004,16.301849528443846
2005,1.6060936146381044
2006,20.198492582250836
2007,21.33865639345065
2008,-26.515048655014173
2009,45.656312127815426
2010,24.574690952091505
2011,11.14227780529724
2012,13.485180391276685
2013,38.98958294533499
2014,23.09846667502009
2015,-0.8622167815587112
2016,12.495004101244977
2017,32.7144998739902
2018,-1.8857300553010492
2019,32.19847504416806
2020,7.231740823479571
2021,12.575673181659264
2022,-3.2958340801077513
2023,18.284851960297765
