Date,UNH,GS,MSFT,HD,MCD,V,AMGN,CAT,CRM,BA,HON,TRV,AAPL,JNJ,CVX,AXP,PG,WMT,JPM,IBM,NKE,MRK,MMM,DIS,KO,DOW,CSCO,VZ,WBA,INTC,Chosen,Chosen Return,Portfolio Returns
12/31/2022,0.069376213,-0.078722271,-0.280244325,-0.219767502,0.005092775,-0.034054563,0.2043145374873598,0.1859813560185421,-0.478255722,-0.053794953,0.049056795,0.2242751180040458,-0.26402056,0.059772713,0.5846528623629719,-0.085172501,-0.050487964,-0.00452099,-0.126433643,0.1063508064516127,-0.290382473,0.4941836019621584,-0.296228571,-0.439094222,0.1060495626822157,-0.066453163,-0.224647645,-0.200228833,-0.250496141,-0.466403162,"['CVX', 'MRK', 'TRV', 'AMGN', 'CAT', 'IBM', 'KO', 'UNH', 'JNJ', 'HON', 'MCD']",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"['CVX', 'MRK', 'TRV', 'AMGN', 'CAT', 'IBM', 'KO', 'UNH', 'JNJ', 'HON', 'MCD']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CVX,MRK,TRV,AMGN,CAT,IBM,KO,UNH,JNJ,HON,MCD,,,,,,,,,,,,,,,,,
,,,,,,0.5846528623629719,0.4941836019621584,0.2242751180040458,0.2043145374873598,0.1859813560185421,0.1063508064516127,0.1060495626822157,0.069376213,0.059772713,0.049056795,0.005092775,,,,,,,,,,,,,,,,,
,,,,,,5.846528624,4.94183602,2.24275118,2.043145375,1.85981356,1.063508065,1.060495627,0.693762127,0.59772713,0.490567946,0.050927754,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CVX,MRK,TRV,AMGN,CAT,IBM,KO,UNH,JNJ,HON,MCD,,,,,,,,,,,,,,,,,
,,,,,,5.85,4.94,2.24,2.04,1.86,1.06,1.06,0.69,0.60,0.49,0.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CVX,5.85,Energy,XLE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MRK,4.94,Health,XLV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TRV,2.24,Financials,XLF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AMGN,2.04,Health,XLV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAT,1.86,Industrials,XLI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IBM,1.06,Technology,XLK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KO,1.06,Consumer Staples,XLP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,UNH,0.69,Health,XLV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JNJ,0.60,Health,XLV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HON,0.49,Industrials,XLI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MCD,0.05,Consumer Discretionary,XLY,,,,,,,,,,,,,,,,,,,,,,,,
