Year,Annual Returns
1998,0.0
1999,34.702700759893766
2000,-22.278170970281362
2001,-12.13398659995013
2002,-19.426084883330198
2003,23.97186450343223
2004,29.6364447434458
2005,26.08239418202856
2006,5.847626153085295
2007,16.964224570070918
2008,-30.33080639670115
2009,14.38489127887772
2010,12.789479060080478
2011,14.824278747165698
2012,12.08067977170273
2013,36.52192506991583
2014,15.631585921978552
2015,10.980230239100774
2016,7.6318641447980395
2017,25.90855426105929
2018,2.2279803713579405
2019,24.945880362116046
2020,21.28790456624412
2021,23.72327844295348
2022,-7.912570334735913
2023,5.0396394217729235
