Year,Winners,Losers,EW,DJI,Median
1999,34.7,34.7,34,25.2,38.8
2000,-22.2,13.3,5.7,-6.2,26.5
2001,-12.1,5.9,-3.6,-7.1,-7.3
2002,-19.4,-14.7,-14.6,-16.8,-14.4
2003,24,51.3,35.4,25.3,33.5
2004,29.9,6.6,17.9,3.1,16.3
2005,26,3.6,11.3,-0.6,1.6
2006,5.9,18.2,15.6,16.3,20.2
2007,17,6.4,15.5,6.4,21.3
2008,-30.3,-33.2,-29.5,-33.8,-26.5
2009,14.4,59,37.6,18.8,45.7
2010,12.8,13.1,15.8,11,24.6
2011,14.8,-1.1,7.6,5.5,11.1
2012,12.1,25.8,17.5,7.3,13.5
2013,36.5,30.1,34.6,26.5,39
2014,15.6,9.2,16.1,7.5,23.1
2015,11,-1,3.3,-2.2,-0.9
2016,7.6,21.8,14.2,13.4,12.5
2017,25.9,24.7,28.2,25.1,32.7
2018,2.2,-2.6,0,-5.6,-1.9
2019,24.9,23.3,26.4,22.3,32.2
2020,21.3,-2.5,8.4,7.2,7.2
2021,23.7,20.5,19.2,18.7,12.6
2022,-7.9,-7.4,-6.1,-8.8,-3.3
2023,5,26.8,17.2,13.7,18.3
